AR,AOA (deg) 1,CD_i 1,CL 1,AOA (deg) 2,CD_i 2,CL 2,Lift Curve Slope,Ideal Lift Curve,Calc CD_i
2,0,0,0,5,0.0076991,0.21259,2.436101953,6.283185307,0.006239349927
3,0,0,0,5,0.0081746,0.26798,3.070824599,6.283185307,0.006586202301
4,0,0,0,5,0.0079755,0.30569,3.502949368,6.283185307,0.006407444028
5,0,0,0,5,0.0076288,0.33291,3.814867592,6.283185307,0.006061877556
6,0,0,0,5,0.0072547,0.3535,4.050811612,6.283185307,0.005680337575
7,0,0,0,5,0.0068586,0.36964,4.235762388,6.283185307,0.005309992473
8,0,0,0,5,0.0064744,0.38266,4.384960598,6.283185307,0.00496718338
9,0,0,0,5,0.0061511,0.39339,4.507917341,6.283185307,0.004655456892
10,0,0,0,5,0.0058275,0.40241,4.611278927,6.283185307,0.004374391745
11,0,0,0,5,0.0055785,0.41011,4.699514427,6.283185307,0.004121384088
12,0,0,0,5,0.0053117,0.41675,4.775603222,6.283185307,0.003893041609
