Frequency [Hz], FFT Amplitude [Vrms]
0,16.65
7.812,11.776
15.625,0.561
23.437,0.488
31.25,0.398
39.062,0.468
46.875,0.503
54.687,0.446
62.5,0.457
70.312,0.465
78.125,0.405
85.937,0.392
93.75,0.399
101.562,0.441
109.375,0.42
117.187,0.42
125,0.404
132.812,0.431
140.625,0.465
148.437,0.528
156.25,0.453
164.062,0.466
171.875,0.622
179.687,0.836
187.5,1.764
195.312,2.754
203.125,2.012
210.937,0.981
218.75,0.601
226.562,0.458
234.375,0.409
242.187,0.367
250,0.39
257.812,0.363
265.625,0.395
273.437,0.344
281.25,0.293
289.062,0.312
296.875,0.312
304.687,0.309
312.5,0.291
320.312,0.303
328.125,0.294
335.937,0.301
343.75,0.298
351.562,0.3
359.375,0.279
367.187,0.269
375,0.314
382.812,0.309
390.625,0.337
398.437,0.288
406.25,0.29
414.062,0.312
421.875,0.287
429.687,0.265
437.5,0.26
445.312,0.248
453.125,0.28
460.937,0.272
468.75,0.274
476.562,0.269
484.375,0.268
492.187,0.261
500,0.259
507.812,0.265
515.625,0.258
523.437,0.251
531.25,0.232
539.062,0.22
546.875,0.217
554.687,0.221
562.5,0.235
570.312,0.245
578.125,0.268
585.937,0.3
593.75,0.249
601.562,0.26
609.375,0.245
617.187,0.233
625,0.218
632.812,0.21
640.625,0.224
648.437,0.216
656.25,0.226
664.062,0.208
671.875,0.208
679.687,0.2
687.5,0.207
695.312,0.207
703.125,0.195
710.937,0.215
718.75,0.22
726.562,0.203
734.375,0.183
742.187,0.169
750,0.186
757.812,0.189
765.625,0.17
773.437,0.182
781.25,0.182
789.062,0.178
796.875,0.17
804.687,0.168
812.5,0.165
820.312,0.168
828.125,0.181
835.937,0.169
843.75,0.164
851.562,0.173
859.375,0.165
867.187,0.161
875,0.174
882.812,0.171
890.625,0.166
898.437,0.156
906.25,0.165
914.062,0.162
921.875,0.162
929.687,0.172
937.5,0.154
945.312,0.159
953.125,0.155
960.937,0.149
968.75,0.17
976.562,0.169
984.375,0.153
992.187,0.145
1000,0.137
1007.812,0.135
1015.625,0.141
1023.437,0.148
1031.25,0.136
1039.062,0.126
1046.875,0.144
1054.687,0.129
1062.5,0.146
1070.312,0.151
1078.125,0.137
1085.937,0.13
1093.75,0.126
1101.562,0.139
1109.375,0.147
1117.187,0.139
1125,0.133
1132.812,0.132
1140.625,0.137
1148.437,0.133
1156.25,0.116
1164.062,0.117
1171.875,0.122
1179.687,0.119
1187.5,0.126
1195.312,0.122
1203.125,0.107
1210.937,0.124
1218.75,0.131
1226.562,0.121
1234.375,0.124
1242.187,0.127
1250,0.121
1257.812,0.126
1265.625,0.132
1273.437,0.134
1281.25,0.126
1289.062,0.123
1296.875,0.12
1304.687,0.119
1312.5,0.116
1320.312,0.113
1328.125,0.117
1335.937,0.128
1343.75,0.129
1351.562,0.115
1359.375,0.112
1367.187,0.129
1375,0.13
1382.812,0.106
1390.625,0.102
1398.437,0.11
1406.25,0.096
1414.062,0.11
1421.875,0.115
1429.687,0.114
1437.5,0.119
1445.312,0.107
1453.125,0.118
1460.937,0.13
1468.75,0.117
1476.562,0.116
1484.375,0.113
1492.187,0.109
1500,0.096
1507.812,0.102
1515.625,0.108
1523.437,0.096
1531.25,0.113
1539.062,0.114
1546.875,0.102
1554.687,0.103
1562.5,0.112
1570.312,0.103
1578.125,0.097
1585.937,0.104
1593.75,0.11
1601.562,0.106
1609.375,0.095
1617.187,0.099
1625,0.112
1632.812,0.102
1640.625,0.092
1648.437,0.097
1656.25,0.108
1664.062,0.099
1671.875,0.1
1679.687,0.098
1687.5,0.096
1695.312,0.098
1703.125,0.105
1710.937,0.102
1718.75,0.095
1726.562,0.09
1734.375,0.093
1742.187,0.096
1750,0.098
1757.812,0.095
1765.625,0.092
1773.437,0.087
1781.25,0.101
1789.062,0.093
1796.875,0.097
1804.687,0.093
1812.5,0.091
1820.312,0.093
1828.125,0.09
1835.937,0.087
1843.75,0.089
1851.562,0.088
1859.375,0.098
1867.187,0.091
1875,0.096
1882.812,0.094
1890.625,0.092
1898.437,0.096
1906.25,0.094
1914.062,0.086
1921.875,0.084
1929.687,0.089
1937.5,0.095
1945.312,0.083
1953.125,0.089
1960.937,0.087
1968.75,0.081
1976.562,0.087
1984.375,0.099
1992.187,0.099
2000,0.083
2007.812,0.07
2015.625,0.079
2023.437,0.081
2031.25,0.084
2039.062,0.086
2046.875,0.083
2054.687,0.091
2062.5,0.085
2070.312,0.077
2078.125,0.085
2085.937,0.09
2093.75,0.085
2101.562,0.092
