Data Point, Corr Factor, Length Scale, AmbPress, AmbTemp, Density, Viscosity, Motor Speed, Angle of Attack, Corrected q, Avg Velocity, Reynolds number, Axial Force,Normal Force, Pitching Mom
1,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-4.91820213,0.020067654,50.17646027,33089.25781,0.006394324,-0.237465871,-0.790682569
2,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-3.942156788,0.019983497,50.07114029,33019.80469,0.016798925,-0.224491894,-0.739962182
3,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-2.934900376,0.019319635,49.23242188,32466.70508,0.000249842,-0.217011635,-0.703158227
4,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-1.999646415,0.019741133,49.76657486,32818.95703,0.00644395,-0.205793055,-0.66815051
5,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-1.023055186,0.019190881,49.06809235,32358.33594,0.017656163,-0.189121225,-0.59644467
6,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-0.002738436,0.019341121,49.25978851,32484.75195,0.016709904,-0.167826902,-0.516304049
7,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,1.021959054,0.019060209,48.90075302,32247.98242,0.020139385,-0.150616093,-0.448975592
8,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,610,2.092279022,0.019516332,49.48241043,32631.56055,0.031834231,-0.127684552,-0.362600342
9,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,610,3.018607737,0.019673031,49.68066025,32762.29883,0.038976324,-0.111168793,-0.295396067
10,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,610,4.001817841,0.020107447,50.22618484,33122.05078,0.047235191,-0.095308082,-0.231217953
11,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,610,5.003847388,0.0200523,50.15726471,33076.59766,0.052677096,-0.080454349,-0.170957591
12,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,610,6.019837986,0.019662127,49.66689301,32753.21875,0.057416856,-0.068803496,-0.12540577
13,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,610,6.941390193,0.019764681,49.79624939,32838.52344,0.064997501,-0.054219481,-0.074869347
14,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,615,8.057046047,0.019643726,49.64364624,32737.88867,0.072792168,-0.039462579,-0.016949979
15,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,615,9.038946024,0.019328166,49.24328995,32473.87109,0.078544115,-0.025200368,0.02803596
16,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,615,10.03907861,0.019396316,49.33002853,32531.07227,0.079066165,0.008751329,0.173875428
17,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,622,11.0235852,0.019826672,49.87427902,32889.98047,0.081631887,0.037800665,0.282086063
18,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,622,11.96279684,0.019988601,50.07753372,33024.01953,0.087770158,0.045184628,0.306621351
19,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,622,13.05571652,0.02012093,50.24302292,33133.15234,0.098895968,0.046105186,0.297725777
20,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,622,13.96460415,0.020230981,50.38023758,33223.64063,0.104095361,0.052889675,0.320902945
21,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,625,15.01037287,0.019849866,49.9034462,32909.21484,0.088778457,0.053354328,0.312496715
22,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,660,15.98271983,0.020171974,50.3067131,33175.15234,0.12792327,0.047665132,0.279866969
23,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,660,16.97641095,0.019711538,49.72925949,32794.34766,0.138114174,0.04500792,0.249687461
24,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,660,17.94986334,0.019926415,49.99957657,32972.60938,0.142885865,0.055456511,0.293150182
25,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,660,19.10289878,0.020134633,50.26012802,33144.43359,0.155497347,0.059681552,0.293743356
26,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,660,20.03291223,0.019880453,49.94187927,32934.5625,0.160158821,0.069316769,0.319642963
