Data Point, Corr Factor, Length Scale, AmbPress, AmbTemp, Density, Viscosity, Motor Speed, Angle of Attack, Corrected q, Avg Velocity, Reynolds number, Axial Force,Normal Force, Pitching Mom
1,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,-5.05483756,2.17445E-05,1.675563335,1070.892578,-0.020611353,-0.179128357,-0.572861025
2,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,-3.966353214,4.00196E-06,0.718823731,459.4174194,-0.015922387,-0.178604415,-0.574246222
3,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,-2.963054481,1.59077E-05,1.433141828,915.9551392,-0.006726252,-0.177939597,-0.576496676
4,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,-2.020471991,1.55122E-05,1.415216327,904.4985352,0.001279151,-0.178823215,-0.575556387
5,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,-1.038230835,2.1154E-05,1.652654052,1056.25061,0.00715541,-0.178334881,-0.576241016
6,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,0.049148091,1.7732E-05,1.513090611,967.0523682,0.015111475,-0.18003408,-0.578008615
7,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,1.051546111,1.6261E-05,1.448967695,926.0698242,0.020926647,-0.178580958,-0.57908896
8,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,2.027741572,9.6121E-06,1.114024758,711.9998169,0.029543338,-0.179187635,-0.577691236
9,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,3.005465516,-3.61706E-06,0.683382034,436.7657776,0.037449344,-0.181118825,-0.577847359
10,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,3.983980995,2.05055E-05,1.627123356,1039.93335,0.042829658,-0.179963642,-0.576865594
11,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,4.966385916,2.49925E-06,0.568055391,363.0577698,0.051677896,-0.178431809,-0.574483737
12,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,6.012222868,1.83858E-05,1.540733337,984.7194824,0.060597134,-0.17938954,-0.57344333
13,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,7.066316354,2.19924E-05,1.685084224,1076.977539,0.069528019,-0.178215974,-0.574125656
14,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,8.044340536,2.95428E-05,1.953043103,1248.23645,0.07708959,-0.177026942,-0.571968842
15,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,9.023374607,-2.00889E-06,0.509288669,325.4985352,0.086270383,-0.175630649,-0.569422113
16,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,10.020846,1.28864E-05,1.289888263,824.3983765,0.092942685,-0.174498076,-0.569704365
17,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,10.98604185,-4.51869E-06,0.763821542,488.1765747,0.099653585,-0.174003735,-0.567189943
18,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,11.96960678,1.99782E-05,1.606067538,1026.476074,0.108289985,-0.174493692,-0.566216841
19,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,13.05259131,1.82646E-05,1.535643697,981.4665527,0.114742837,-0.173517696,-0.562263478
20,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,14.0681725,3.17363E-05,2.024247885,1293.745117,0.124205833,-0.173161091,-0.560168006
21,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,15.02324214,2.10327E-05,1.647910118,1053.21875,0.130980475,-0.170729367,-0.556551436
22,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,15.97814803,2.99646E-05,1.966936469,1257.116089,0.138151703,-0.170971361,-0.554833923
23,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,16.99494381,2.34002E-05,1.738181591,1110.91333,0.145251683,-0.169337137,-0.552471599
24,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,18.00592589,1.30499E-05,1.298043132,829.6103516,0.152930944,-0.166902186,-0.549751668
25,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,19.07351643,2.88047E-05,1.928488731,1232.543213,0.162094955,-0.165994742,-0.546556598
26,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,20.01654928,1.00445E-05,1.138804078,727.836853,0.168016278,-0.164578365,-0.541840377
27,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,20.98525244,5.62068E-06,0.851883292,544.4589844,0.172875138,-0.163484026,-0.538380824
28,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,21.97026397,2.52456E-05,1.805421352,1153.887939,0.17907764,-0.161961914,-0.535160712
29,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,23.0482673,4.32887E-05,2.364139318,1510.977905,0.189444061,-0.16173106,-0.531155217
30,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,24.0483453,1.70202E-05,1.482409716,947.4434204,0.196332119,-0.159470085,-0.528030423
31,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,0,25.04831412,2.92634E-05,1.943783998,1242.318726,0.202819417,-0.156558582,-0.521488639
