alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
-5,0,-0.230665,0.00365,0.067429,0.071079,0,0,0.167722,0,0,22.9,0.0428
-4.5,0,-0.19172,0.003214,0.063035,0.066249,0,0,0.136354,0,0,22.9,0.0498
-4,0,-0.137978,0.002679,0.058339,0.061017,0,0,0.08986,0,0,22.9,0.05
-3.5,0,-0.051985,0.001918,0.05279,0.054707,0,0,0.004975,0,0,22.9,0.0623
-3,0,0.022781,0.002152,0.047828,0.04998,0,0,-0.065836,0,0,22.9,0.2312
-2.5,0,0.087823,0.002757,0.044956,0.047712,0,0,-0.124954,0,0,22.9,0.1192
-2,0,0.169637,0.003606,0.04232,0.045926,0,0,-0.204325,0,0,22.9,0.053
-1.5,0,0.233771,0.004804,0.04045,0.045254,0,0,-0.263695,0,0,22.9,0.0366
-1,0,0.284522,0.006209,0.038921,0.04513,0,0,-0.306396,0,0,22.9,0.0389
-0.5,0,0.328434,0.007678,0.038838,0.046515,0,0,-0.342173,0,0,22.9,0.0378
0,0,0.373687,0.009485,0.03967,0.049155,0,0,-0.379412,0,0,22.9,0.0367
0.5,0,0.421177,0.011665,0.040875,0.05254,0,0,-0.418762,0,0,22.9,0.0359
1,0,0.464929,0.013912,0.042201,0.056113,0,0,-0.454435,0,0,22.9,0.0352
1.5,0,0.504592,0.016133,0.043635,0.059768,0,0,-0.486226,0,0,22.9,0.0346
2,0,0.543047,0.018454,0.045163,0.063617,0,0,-0.516852,0,0,22.9,0.0341
2.5,0,0.581811,0.020971,0.04677,0.06774,0,0,-0.547683,0,0,22.9,0.0337
3,0,0.625612,0.023861,0.048262,0.072122,0,0,-0.58364,0,0,22.9,0.0334
3.5,0,0.673413,0.027183,0.049584,0.076768,0,0,-0.62358,0,0,22.9,0.0331
4,0,0.723924,0.030944,0.050744,0.081688,0,0,-0.665802,0,0,22.9,0.0328
4.5,0,0.767744,0.034569,0.051868,0.086437,0,0,-0.700693,0,0,22.9,0.0325
5,0,0.807937,0.038056,0.053025,0.09108,0,0,-0.732171,0,0,22.9,0.0322
5.5,0,0.849024,0.041968,0.053874,0.095841,0,0,-0.763606,0,0,22.9,0.032
6,0,0.898377,0.046883,0.054148,0.101031,0,0,-0.802395,0,0,22.9,0.0317
6.5,0,0.946746,0.051797,0.054272,0.106069,0,0,-0.840227,0,0,22.9,0.0315
7,0,0.992181,0.056746,0.054109,0.110856,0,0,-0.875065,0,0,22.9,0.0313
7.5,0,1.039454,0.061995,0.053429,0.115424,0,0,-0.911226,0,0,22.9,0.031
8,0,1.096661,0.068516,0.051557,0.120073,0,0,-0.956075,0,0,22.9,0.0309
8.5,0,1.160317,0.076321,0.048805,0.125127,0,0,-1.006512,0,0,22.9,0.0307
9,0,1.226278,0.084888,0.045733,0.130621,0,0,-1.058678,0,0,22.9,0.0305
9.5,0,1.279336,0.091889,0.0442,0.13609,0,0,-1.099422,0,0,22.9,0.0304
10,0,1.326464,0.098154,0.043163,0.141317,0,0,-1.135731,0,0,22.9,0.0302
10.5,0,1.359669,0.10281,0.043788,0.146598,0,0,-1.158761,0,0,22.9,0.0301
11,0,1.377833,0.106173,0.047263,0.153436,0,0,-1.167418,0,0,22.9,0.0298
11.5,0,1.404639,0.109892,0.049723,0.159615,0,0,-1.185745,0,0,22.9,0.0297
13.5,0,1.428332,0.119447,0.078476,0.197923,0,0,-1.184817,0,0,22.9,0.029
14,0,1.438263,0.121918,0.08286,0.204778,0,0,-1.188701,0,0,22.9,0.0289
