time (s), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), imu_pitch (rad), imu_roll (rad), imu_yaw (rad), counter, x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), angle_pitch_desired (rad), mu1, mu2
0.0000, -0.0962, 5.3267, 0.0930, 0.7224, -0.0188, 0.9132, 656582, 0.0443, -0.3127, -0.1035, -0.0338, -0.0981, 0.1108, 0.3797, 1, 200
0.0310, -0.2277, 1.8503, -0.0879, 0.8772, -0.0192, 0.9118, 656622, 0.0443, -0.3127, -0.1034, -0.0338, -0.0981, 0.1108, 0.3642, 1, 200
0.0470, -0.2277, 1.8503, -0.0879, 0.8772, -0.0192, 0.9118, 656622, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1108, 0.3642, 1, 200
0.0620, 0.0546, -1.5337, 0.1172, 0.8788, -0.0190, 0.9112, 656642, 0.0444, -0.3127, -0.1034, -0.0338, -0.0980, 0.1108, 0.3543, 70, 200
0.0940, -0.4096, -6.5182, -0.1266, 0.6920, -0.0161, 0.9119, 656682, 0.0443, -0.3127, -0.1034, -0.0337, -0.0982, 0.1107, 0.3302, 200, 165
0.1090, -0.4096, -6.5182, -0.1266, 0.6920, -0.0161, 0.9119, 656682, 0.0443, -0.3127, -0.1035, -0.0340, -0.0980, 0.1108, 0.3302, 200, 165
0.1250, -0.1728, -7.4170, 0.0508, 0.4054, -0.0169, 0.9137, 656722, 0.0443, -0.3127, -0.1034, -0.0338, -0.0980, 0.1108, 0.3010, 200, 1
0.1400, -0.1728, -7.4170, 0.0508, 0.4054, -0.0169, 0.9137, 656722, 0.0443, -0.3127, -0.1035, -0.0339, -0.0982, 0.1108, 0.3010, 200, 1
0.1720, -1.1085, -6.5706, -0.0900, 0.2594, -0.0180, 0.9139, 656742, 0.0443, -0.3126, -0.1034, -0.0338, -0.0981, 0.1108, 0.2846, 200, 1
0.1870, 0.5558, -3.7035, 0.1355, 0.0269, -0.0234, 0.9170, 656782, 0.0443, -0.3127, -0.1034, -0.0338, -0.0981, 0.1107, 0.2484, 200, 1
0.2030, 0.5558, -3.7035, 0.1355, 0.0269, -0.0234, 0.9170, 656782, 0.0443, -0.3127, -0.1035, -0.0338, -0.0982, 0.1108, 0.2484, 200, 1
0.2340, -0.3709, -0.3236, -0.0680, -0.0134, -0.0209, 0.9179, 656802, 0.0444, -0.3127, -0.1034, -0.0338, -0.0979, 0.1107, 0.2288, 200, 66
