time (s), accel_x (m/s^2), accel_y (m/s^2), accel_z (m/s^2), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), mocap_counter, counter, desired x, desired y, desired z, desired yaw
0.0000, -0.2942, -0.0883, -9.6497, -0.0065, 0.0051, 0.0070, -0.0123, -0.0103, -0.0963, 0.0606, 0.1072, -0.0966, 303, 146608, 0.0000, 0.0000, 0.0000, 0.0000
0.0200, -0.2942, -0.0883, -9.6497, -0.0065, 0.0051, 0.0070, -0.0124, -0.0104, -0.0963, 0.0608, 0.1070, -0.0967, 304, 146608, 0.0000, 0.0000, 0.0000, 0.0000
0.0400, -0.2942, -0.0883, -9.6497, -0.0065, 0.0051, 0.0070, -0.0125, -0.0104, -0.0963, 0.0608, 0.1071, -0.0967, 305, 146608, 0.0000, 0.0000, 0.0000, 0.0000
0.0600, -0.2942, -0.0883, -9.6497, -0.0065, 0.0051, 0.0070, -0.0124, -0.0103, -0.0964, 0.0608, 0.1072, -0.0969, 306, 146608, 0.0000, 0.0000, 0.0000, 0.0000
0.0800, -0.2942, -0.0883, -9.6497, -0.0065, 0.0051, 0.0070, -0.0124, -0.0104, -0.0962, 0.0608, 0.1070, -0.0967, 307, 146608, 0.0000, 0.0000, 0.0000, 0.0000
0.1000, -0.2942, -0.0883, -9.6497, -0.0065, 0.0051, 0.0070, -0.0124, -0.0104, -0.0963, 0.0607, 0.1070, -0.0967, 308, 146608, 0.0000, 0.0000, 0.0000, 0.0000
0.1200, -0.2942, -0.0883, -9.6497, -0.0065, 0.0051, 0.0070, -0.0125, -0.0104, -0.0963, 0.0609, 0.1071, -0.0967, 309, 146608, 0.0000, 0.0000, 0.0000, 0.0000
0.1400, -0.2942, -0.0883, -9.6497, -0.0065, 0.0051, 0.0070, -0.0124, -0.0104, -0.0963, 0.0608, 0.1070, -0.0967, 310, 146608, 0.0000, 0.0000, 0.0000, 0.0000
0.1600, -0.2942, -0.0883, -9.6497, -0.0065, 0.0051, 0.0070, -0.0124, -0.0104, -0.0963, 0.0607, 0.1072, -0.0966, 311, 146608, 0.0000, 0.0000, 0.0000, 0.0000
0.1800, -0.2942, -0.0883, -9.6497, -0.0065, 0.0051, 0.0070, -0.0125, -0.0104, -0.0963, 0.0609, 0.1072, -0.0967, 312, 146608, 0.0000, 0.0000, 0.0000, 0.0000
