AR,AOA (deg) 1,CD_i 1,CL 1,AOA (deg) 2,CD_i 2,CL 2,Lift Curve Slope,Ideal Lift Curve,Calc CD_i
2,0,0,0,5,0.0073775,0.215,2.463718519,6.283185307,0.006381614991
3,0,0,0,5,0.0079623,0.2734,3.132933224,6.283185307,0.006855313515
4,0,0,0,5,0.0079043,0.3141,3.599320869,6.283185307,0.006764850916
5,0,0,0,5,0.0076123,0.34391,3.940918306,6.283185307,0.006469088412
6,0,0,0,5,0.007247,0.36666,4.201614103,6.283185307,0.006111142039
7,0,0,0,5,0.0068726,0.38458,4.406962177,6.283185307,0.005747902233
8,0,0,0,5,0.0065144,0.39908,4.573119938,6.283185307,0.005402614582
9,0,0,0,5,0.0061816,0.41105,4.710286034,6.283185307,0.005082822957
10,0,0,0,5,0.0058761,0.42112,4.825679734,6.283185307,0.004790621723
11,0,0,0,5,0.0055972,0.4297,4.923999291,6.283185307,0.004524525906
12,0,0,0,5,0.0053427,0.43712,5.009026228,6.283185307,0.004282912322
