,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,Iteration 31,Iteration 32,Iteration 33,Iteration 34,Iteration 35,Iteration 36,Iteration 37,Iteration 38,Iteration 39,Iteration 40,Iteration 41,Iteration 42,Iteration 43,Iteration 44,Iteration 45,Iteration 46,Iteration 47,Iteration 48,Iteration 49,Iteration 50,Iteration 51,Iteration 52,Iteration 53,Iteration 54,Iteration 55,Iteration 56,Iteration 57,Iteration 58,Iteration 59,Iteration 60,Iteration 61,Iteration 62,Iteration 63
R,3497.05672,3364.570541,3430.128052,3459.713319,3472.985571,3479.57201,3483.357448,3485.956647,3488.047023,3301.752242,3403.030427,3459.710998,3480.756307,3488.93323,3492.44974,3494.165631,3495.197279,3495.985083,3323.849475,3434.185904,3479.44714,3493.258341,3497.692483,3499.08068,3499.429712,3499.480101,3499.492924,3349.85161,3457.734305,3491.554499,3499.734242,3501.511062,3501.523109,3501.114287,3500.713787,3500.42405,3376.033628,3474.492158,3498.187879,3502.258919,3502.356088,3501.707145,3501.084273,3500.624538,3500.277144,3400.528104,3485.707566,3501.147473,3502.525884,3501.850264,3501.100069,3500.495566,3499.878248,3499.021922,3422.39588,3492.691684,3501.898606,3501.845264,3501.018496,3500.190753,3498.997314,3496.92832,3493.530627
BFL,6226.277501,4392.552571,4776.903239,5195.424954,5652.325587,6152.340419,6701.600784,7307.308563,7977.74423,4192.004062,4700.370185,5238.522772,5837.339313,6507.342895,7262.024371,8117.805274,9094.251162,10214.88625,4407.605757,5095.097417,5858.469574,6736.924276,7758.980755,8961.559124,10391.38894,12108.39529,14190.89969,4665.495104,5605.684978,6706.293041,8037.889396,9678.567007,11735.88995,14360.30885,17768.4852,22282.05295,4977.325407,6275.398791,7898.71787,10007.78084,12828.27046,16712.17274,22233.43096,30378.99787,42956.95829,5358.078118,7171.515515,9643.003352,13189.74632,18530.10822,27022.91972,41484.31752,68505.9579,126516.9549,5828.007894,8403.259135,12335.10224,18825.83166,30522.63597,54234.71257,111879.9827,309403.3869,2447850.57
S,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000,1000,2000,3000,4000,5000,6000,7000,8000,9000
AR,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
FN,114321.1904,156812.5398,154338.1964,151463.6897,148499.4115,145573.1851,142721.3353,139949.5548,137253.7274,157813.4607,154605.6439,151150.0527,147435.1449,143765.9075,140216.1661,136790.6636,133478.8759,130267.9642,156059.8335,151872.6975,147290.5451,142657.9741,138201.4097,133935.8065,129838.6729,125886.0587,122057.9825,154142.8504,148611.1525,142789.8193,137145.1697,131790.8332,126688.9754,121794.5744,117072.8926,112498.938,151981.6372,144831.716,137659.8074,130879.5004,124485.1363,118394.4637,112545.1852,106896.6544,101424.1947,149534.1461,140543.3946,131889.4023,123813.7915,116199.8372,108931.9037,101941.3179,95194.14321,88679.85574,146776.6488,135745.9301,125444.4793,115871.4965,106818.9795,98160.72601,89848.94092,81886.0802,74303.03177
W_fuel,98047.48513,122297.6081,124258.2781,126616.4754,129143.9363,131739.9116,134372.3313,137033.6517,139725.1565,121521.9441,124043.3276,126879.2051,130076.1671,133396.0107,136773.0917,140198.1542,143676.6561,147218.0721,122887.4728,126275.485,130203.867,134432.0124,138767.0255,143186.4939,147704.8257,152342.513,157120.3959,124415.7513,129046.8327,134307.8844,139835.7564,145516.9382,151377.0119,157460.2041,163810.7517,170470.9296,126184.9714,132414.357,139312.984,146530.1937,154056.9349,161982.2241,170400.8796,179405.0399,189085.0462,128250.2963,136454.6416,145408.1845,154892.2646,165041.5267,176053.0927,188125.8644,201459.8577,216258.7927,130659.7384,141277.1531,152878.7768,165509.1987,179535.4967,195371.4008,213444.9037,234200.9594,258102.5038
W_empty,375254.0308,407392.3266,424420.8926,440133.3953,455169.7518,469836.8936,484293.1597,498630.6722,512908.2863,396947.1726,420797.5195,441588.6156,460899.5614,479505.1115,497752.8329,515826.4019,533837.9494,551862.7455,406881.5503,436047.3753,461488.5645,485387.4146,508627.8328,531607.1472,554546.9256,577590.2845,600839.1327,418008.0547,453369.3733,484591.7507,514354.2874,543655.5733,572967.8127,602574.5902,632674.135,663420.7362,430369.1585,473071.8413,511516.2276,548831.0851,586172.6666,624140.6716,663136.4969,703475.6873,745434.8821,444060.0771,495551.0429,543078.7556,590250.7041,638485.4149,688630.727,741345.3406,797223.6635,856849.333,459217.0449,521312.6348,580381.1003,640660.9452,704069.4321,771988.7001,845677.308,926410.9361,1015545.793
MRW,485519.0641,537257.735,558498.5514,577592.4543,595616.9025,613107.8962,630326.5485,647414.4918,664456.2623,523885.8444,553704.1532,579307.296,602560.5439,624779.3327,646530.8753,668090.851,689617.4515,711211.9409,535884.2537,572248.3726,603227.8424,631860.4857,659603.3706,687056.0313,714527.6843,742210.1682,770236.7652,549386.4276,593157.8477,630875.5501,666479.426,701535.3359,736710.7,772384.9245,808818.2941,846212.3195,564384.789,616821.1685,663057.0824,707755.8501,752633.3077,798501.9034,845890.1654,895212.7401,946834.9008,580965.4305,643748.4648,700834.612,757554.7515,815914.1903,877039.1542,941797.8418,1010976.513,1085347.692,599279.7164,674594.7884,745642.8075,818557.4033,895957.1734,979670.7488,1071361.064,1172706.355,1285471.222
WS_land,488.9317323,261.3384714,180.1856458,139.2637663,114.5686479,98.04062305,86.20325966,77.30965072,70.38541118,511.7095313,268.3761977,186.1943488,144.7148849,119.6790734,102.9259124,90.933246,81.93060586,74.93009808,522.1406278,276.382372,193.1593309,151.1429463,125.7948449,108.8504174,96.74132455,87.67309984,80.64400992,533.8234575,285.476421,201.2454461,158.7467504,133.1506704,116.0885339,103.9454742,94.90285522,87.945197,546.8026165,295.8202167,210.669013,167.7969098,142.07926,125.0437842,113.0297603,104.195559,97.51351402,561.178081,307.6217975,221.7158978,178.6695598,153.0649371,136.3295439,124.7610868,116.4999808,110.5118666,577.0928971,321.1466332,234.7717184,191.9022481,166.8375807,150.9171892,140.4108819,133.4558104,129.0264536
WS_TO,485.5190641,268.6288675,186.1661838,144.3981136,119.1233805,102.1846494,90.04664979,80.92681148,73.82847359,523.8858444,276.8520766,193.102432,150.640136,124.9558665,107.7551459,95.44155014,86.20218144,79.02354899,535.8842537,286.1241863,201.0759475,157.9651214,131.9206741,114.5093386,102.0753835,92.77627102,85.5818628,549.3864276,296.5789239,210.29185,166.6198565,140.3070672,122.7851167,110.3407035,101.1022868,94.02359106,564.384789,308.4105842,221.0190275,176.9389625,150.5266615,133.0836506,120.8414522,111.9015925,105.2038779,580.9654305,321.8742324,233.6115373,189.3886879,163.1828381,146.1731924,134.5425488,126.3720641,120.594188,599.2797164,337.2973942,248.5476025,204.6393508,179.1914347,163.2784581,153.0515805,146.5882944,142.8301358
