,Intensity (W/m^2),,,,,,,,,,,
Wavelength (nm),Incandescent,Blacklight,CFL,LED,Argon,Helium,Hydrogen,Mercury (Safety Glasses),Mercury (Sunglasses),Mercury (Unshielded),Neon,Oxygen
194.216,-325.94,-293.55,-337.73,-372.8,-331.16,-318.77,-358.62,-290.27,-298.03,-326.24,-300.12,-284.3
204.948,270.42,220.43,61.64,89.24,0.15,94.92,35.37,37.46,15.37,19.4,54.47,2.24
215.657,96.71,152.37,-92.38,12.24,-1.64,-37.61,-70.29,5.22,20.74,-77.31,2.54,-89.1
226.342,274,209.68,31.19,73.13,87.9,-8.95,-27.31,26.71,20.74,-43.28,-52.98,-4.92
237.002,272.21,129.09,32.98,65.96,16.27,64.47,72.98,37.46,-13.28,-18.21,-13.58,20.15
247.638,453.09,397.72,210.28,341.76,245.5,205.95,155.36,232.66,171.18,259.38,249.68,278.03
258.25,329.52,224.01,113.57,200.28,86.11,89.54,65.81,75.07,108.5,126.85,83.13,-12.09
268.836,288.33,225.8,34.77,94.62,75.37,30.44,89.1,35.67,38.65,40.89,40.15,30.89
279.398,238.19,147,9.7,92.83,57.46,-21.49,12.09,55.37,8.21,-34.32,-52.98,2.24
289.935,247.14,218.64,95.66,173.42,71.78,91.33,85.51,127,40.44,31.94,40.15,20.15
300.447,245.35,87.9,-76.26,6.86,-41.04,14.33,-0.45,-1.94,-61.64,8.66,-4.63,23.73
310.934,492.49,215.05,65.22,168.04,145.21,134.32,395.33,76.86,36.86,628.3,117.15,64.92
321.395,483.53,168.49,79.54,96.41,0.15,30.44,184.01,19.55,40.44,137.6,-67.31,57.76
331.83,793.35,229.38,101.03,73.13,50.29,-25.07,201.92,51.79,-6.12,71.34,54.47,75.66
342.24,972.44,481.89,135.06,53.43,-66.11,-48.35,146.4,-12.69,33.28,24.77,32.98,14.77
352.624,1482.84,960.05,197.74,114.32,84.32,60.89,237.74,62.53,10,78.5,99.24,64.92
362.982,1925.18,1375.54,226.4,60.59,50.29,-32.24,164.31,-19.85,-0.75,685.6,-26.12,47.01
373.314,2449.91,2013.08,72.38,98.2,93.27,14.33,124.91,69.69,-6.12,60.59,2.54,-60.44
383.619,3243.26,2559.3,149.39,110.74,80.74,96.71,209.08,82.23,22.54,3.28,36.56,-46.11
393.898,4308.83,3007.02,74.17,78.5,218.64,-21.49,83.72,71.49,8.21,141.18,15.07,-10.3
404.15,5318.88,3092.98,4216.45,144.76,293.85,107.45,176.85,20859.87,85.22,14845.99,50.89,48.8
414.376,6169.54,2369.47,63.43,436.67,147,26.86,76.56,146.7,-38.35,128.64,-10,59.55
424.575,6898.42,1850.12,167.3,1244.35,216.84,39.4,110.59,180.73,54.77,135.81,50.89,48.8
434.746,8030.25,1207.19,4033.78,3662.03,191.77,-12.54,402.5,24516.82,3391.16,13560.15,-76.26,-24.62
444.89,9452.2,1266.29,192.37,10870.27,161.33,96.71,128.49,141.33,158.64,137.6,77.75,165.21
455.007,10816.84,972.59,68.8,11839.13,82.53,-35.82,76.56,73.28,24.33,-70.14,16.86,39.85
465.097,13757.44,897.37,102.83,8192.92,86.11,8.95,137.45,130.58,58.35,80.29,75.96,32.68
475.159,16866.39,609.04,111.78,6214.01,61.04,-25.07,28.21,101.93,31.49,85.66,29.4,-8.51
485.193,23904.5,222.22,3550.25,9254.9,-141.33,-98.5,2836.29,-48.5,-92.08,-148.94,-72.68,-123.12
495.199,33297.6,370.86,3048.8,17784.81,147,223.86,244.9,236.25,110.29,266.54,120.73,152.67
505.176,39536.98,125.51,448.46,26769.59,138.05,361.76,58.65,139.54,45.82,55.22,52.68,23.73
515.126,43552.1,61.04,240.72,33001.81,46.71,-10.75,40.74,89.39,-127.9,42.68,-1.04,64.92
525.047,46992.36,116.56,124.32,36957.83,39.55,-59.1,-2.24,143.12,-4.33,21.19,2.54,27.31
534.94,49752.09,154.16,1136.16,38938.53,105.81,80.59,101.63,216.55,119.24,185.95,290.87,143.72
544.804,51730.99,197.14,30719.49,41508.43,125.51,98.5,60.44,8144.72,1113.17,4940.7,59.84,82.83
554.639,53315.91,163.12,3632.63,44644.23,43.13,134.32,126.7,289.97,113.87,137.6,74.17,89.99
564.445,56304.87,105.81,577.41,49681.94,98.65,19.7,96.26,200.43,42.23,116.11,45.52,4.03
574.222,57569.22,-8.81,391.16,54499.38,25.22,16.12,101.63,46.41,-56.26,21.19,38.35,2.24
583.969,57676.67,91.48,6544.58,57074.64,87.9,239.98,155.36,118.05,42.23,-39.7,1005.42,18.36
593.688,57413.42,129.09,7841.16,58222.59,64.62,306.24,155.36,105.51,31.49,62.38,3800.97,-38.95
603.376,59546.34,166.7,2131.88,60119.12,424.58,96.71,346.98,275.64,78.05,146.55,5427.07,106.11
613.035,60237.61,206.1,52643.29,59721.55,0.15,134.32,185.8,82.23,65.52,74.92,4151.98,41.64
622.664,57536.99,23.43,4721.47,53197.42,-57.16,-10.75,21.04,1.64,-22.24,40.89,9857.68,27.31
