y pos, pitot vel, pitot std, hot vel, hot std
-60,24.011,0.222,23.91,0.402
-58,24.076,0.204,23.926,0.435
-56,24.012,0.24,23.826,0.51
-54,23.975,0.238,23.774,0.568
-52,24.054,0.256,23.872,0.649
-50,24.111,0.287,23.881,0.775
-48,24.191,0.301,23.835,0.907
-46,24.084,0.389,23.79,1.157
-44,24.057,0.457,23.753,1.293
-42,24.143,0.503,23.884,1.602
-40,24.06,0.584,23.698,1.94
-38,24.048,0.692,23.585,2.141
-36,23.879,0.746,23.4,2.505
-34,23.868,0.906,23.356,2.753
-32,23.798,0.966,23.302,3.184
-30,23.709,1.051,23.256,3.307
-28,23.458,1.168,22.86,3.661
-26,23.337,1.228,22.848,3.965
-24,23.184,1.333,22.602,4.178
-22,22.86,1.391,22.382,4.53
-20,22.681,1.464,22.072,4.784
-18,22.478,1.595,21.898,5.162
-16,21.998,1.71,21.562,5.382
-14,21.464,1.832,21.186,5.628
-12,20.702,2.025,20.599,5.762
-10,19.848,2.232,20.16,5.737
-8,19.117,2.486,19.879,5.672
-6,18.541,2.857,19.209,5.612
-4,18.023,3.014,18.833,5.57
-2,17.577,3.261,18.59,5.466
0,17.792,3.061,18.708,5.302
2,18.058,3.021,18.955,5.535
4,18.621,2.792,19.312,5.644
6,19.37,2.414,19.193,5.573
8,20.177,2.168,19.984,5.644
10,20.971,1.98,20.263,5.681
12,21.708,1.887,20.905,5.555
14,22.152,1.698,21.201,5.42
16,22.597,1.571,21.648,5.106
18,23.01,1.492,22.092,4.927
20,23.345,1.386,22.448,4.648
22,23.482,1.304,22.711,4.359
24,23.791,1.233,23.029,4.014
26,23.824,1.14,23.057,3.787
28,24.02,1.076,23.4,3.394
30,24.231,0.957,23.617,3.181
32,24.238,0.878,23.772,2.809
34,24.258,0.76,23.825,2.581
36,24.464,0.729,24.045,2.319
38,24.352,0.523,23.927,2.013
40,24.553,0.489,24.225,1.729
42,24.653,0.392,24.38,1.463
44,24.635,0.383,24.421,1.224
46,24.621,0.314,24.421,1.056
48,24.538,0.278,24.332,0.879
50,24.57,0.235,24.424,0.733
52,24.691,0.217,24.541,0.634
54,24.656,0.256,24.489,0.573
56,24.569,0.212,24.421,0.483
58,24.638,0.228,24.515,0.438
60,24.607,0.173,24.499,0.367
