Pitot/static Probe Velocity [m/s], Hotwire Ev [Volts]
-0.172,1.348
0.184,1.348
0.243,1.348
0.278,1.348
0.318,1.348
0.361,1.348
0.384,1.348
0.395,1.348
0.421,1.348
0.422,1.348
0.422,1.348
0.427,1.348
0.542,1.35
0.574,1.428
0.58,1.373
0.962,1.518
1.342,1.576
1.569,1.603
1.813,1.621
2.125,1.65
2.513,1.681
3.066,1.719
3.827,1.766
4.634,1.808
5.047,1.828
5.218,1.836
5.32,1.84
5.384,1.844
5.473,1.848
5.512,1.85
5.536,1.851
5.605,1.854
5.687,1.858
5.863,1.865
6.245,1.88
6.768,1.899
7.314,1.917
7.506,1.924
7.661,1.929
7.831,1.935
8.194,1.946
8.61,1.959
9.416,1.982
10.24,2.004
11.354,2.032
12.354,2.056
12.724,2.065
12.819,2.066
12.858,2.067
12.909,2.068
13.143,2.073
13.359,2.078
13.883,2.089
14.356,2.098
15.222,2.116
16.212,2.135
17.702,2.162
18.499,2.175
18.633,2.177
18.665,2.178
19.302,2.187
19.496,2.191
19.765,2.196
20.249,2.204
20.498,2.207
21.321,2.221
22.044,2.23
22.916,2.243
22.917,2.244
23.025,2.245
23.077,2.245
23.557,2.253
23.625,2.254
24.177,2.262
25.176,2.274
26.15,2.287
27.41,2.303
29.26,2.325
29.87,2.33
29.945,2.334
29.956,2.333
30.235,2.334
30.356,2.337
30.386,2.335
30.423,2.337
30.993,2.343
32.228,2.356
32.782,2.361
33.161,2.367
33.291,2.367
33.43,2.368
33.474,2.369
33.503,2.371
33.831,2.373
33.931,2.375
33.947,2.375
34.02,2.376
34.064,2.377
34.372,2.377
