Frequency [Hz], FFT Amplitude [Vrms]
0,21.345
7.812,15.132
15.625,0.56
23.437,0.591
31.25,0.593
39.062,0.591
46.875,0.554
54.687,0.526
62.5,0.49
70.312,0.419
78.125,0.509
85.937,0.569
93.75,0.559
101.562,0.514
109.375,0.521
117.187,0.541
125,0.552
132.812,0.489
140.625,0.521
148.437,0.518
156.25,0.512
164.062,0.494
171.875,0.549
179.687,0.522
187.5,0.46
195.312,0.495
203.125,0.539
210.937,0.607
218.75,0.642
226.562,0.831
234.375,1.178
242.187,2.12
250,3.42
257.812,2.522
265.625,1.417
273.437,0.883
281.25,0.643
289.062,0.508
296.875,0.456
304.687,0.468
312.5,0.405
320.312,0.463
328.125,0.451
335.937,0.393
343.75,0.454
351.562,0.456
359.375,0.406
367.187,0.405
375,0.443
382.812,0.405
390.625,0.397
398.437,0.421
406.25,0.376
414.062,0.355
421.875,0.347
429.687,0.347
437.5,0.335
445.312,0.346
453.125,0.314
460.937,0.316
468.75,0.361
476.562,0.358
484.375,0.407
492.187,0.378
500,0.343
507.812,0.338
515.625,0.386
523.437,0.373
531.25,0.368
539.062,0.378
546.875,0.299
554.687,0.296
562.5,0.325
570.312,0.32
578.125,0.294
585.937,0.279
593.75,0.286
601.562,0.306
609.375,0.302
617.187,0.324
625,0.306
632.812,0.291
640.625,0.287
648.437,0.301
656.25,0.304
664.062,0.292
671.875,0.271
679.687,0.281
687.5,0.263
695.312,0.269
703.125,0.26
710.937,0.263
718.75,0.264
726.562,0.251
734.375,0.27
742.187,0.281
750,0.288
757.812,0.319
765.625,0.309
773.437,0.271
781.25,0.244
789.062,0.259
796.875,0.267
804.687,0.227
812.5,0.251
820.312,0.26
828.125,0.272
835.937,0.258
843.75,0.243
851.562,0.218
859.375,0.221
867.187,0.242
875,0.244
882.812,0.211
890.625,0.218
898.437,0.231
906.25,0.228
914.062,0.231
921.875,0.243
929.687,0.241
937.5,0.218
945.312,0.201
953.125,0.194
960.937,0.204
968.75,0.219
976.562,0.218
984.375,0.209
992.187,0.223
1000,0.224
1007.812,0.227
1015.625,0.204
1023.437,0.231
1031.25,0.246
1039.062,0.206
1046.875,0.2
1054.687,0.207
1062.5,0.192
1070.312,0.193
1078.125,0.218
1085.937,0.204
1093.75,0.194
1101.562,0.203
1109.375,0.222
1117.187,0.21
1125,0.204
1132.812,0.189
1140.625,0.195
1148.437,0.205
1156.25,0.212
1164.062,0.186
1171.875,0.197
1179.687,0.183
1187.5,0.197
1195.312,0.191
1203.125,0.173
1210.937,0.164
1218.75,0.153
1226.562,0.158
1234.375,0.184
1242.187,0.192
1250,0.188
1257.812,0.188
1265.625,0.182
1273.437,0.177
1281.25,0.176
1289.062,0.177
1296.875,0.183
1304.687,0.183
1312.5,0.194
1320.312,0.176
1328.125,0.176
1335.937,0.172
1343.75,0.186
1351.562,0.182
1359.375,0.184
1367.187,0.181
1375,0.18
1382.812,0.178
1390.625,0.165
1398.437,0.154
1406.25,0.171
1414.062,0.161
1421.875,0.159
1429.687,0.142
