Data Point, Corr Factor, Length Scale, AmbPress, AmbTemp, Density, Viscosity, Motor Speed, Angle of Attack, Corrected q, Avg Velocity, Reynolds number, Axial Force,Normal Force, Pitching Mom
1,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,945,-4.935834269,0.048068724,78.78019714,50350.30469,0.023099051,-0.337932457,-1.180332995
2,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,945,-3.970829485,0.048543508,79.16830444,50598.35547,0.028737769,-0.316551335,-1.097775369
3,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,945,-2.941396428,0.047676489,78.45812225,50144.46094,0.034408835,-0.288388465,-0.981607103
4,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,957,-2.020553874,0.04887982,79.44207764,50773.32813,0.041074578,-0.268518743,-0.898318453
5,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,957,-1.037070826,0.048262405,78.93875122,50451.64063,0.046882539,-0.228540104,-0.729023891
6,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,957,-0.057422632,0.047298575,78.14655304,49945.32813,0.050304888,-0.171622755,-0.503456156
7,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,957,1.060089237,0.048218215,78.90260315,50428.53906,0.052489436,-0.110075981,-0.263657374
8,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,957,2.01566383,0.048124994,78.82629395,50379.76563,0.055485252,-0.06816413,-0.103734773
9,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,957,2.997809455,0.048116505,78.81934357,50375.32422,0.057192527,-0.036047522,0.031160119
10,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,957,3.98183839,0.048369836,79.02655792,50507.76172,0.060386087,0.015392878,0.226730535
11,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,957,4.974396803,0.048118514,78.82099152,50376.37891,0.065944582,0.070829731,0.450238862
12,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,957,5.979469668,0.047468493,78.28678894,50034.95703,0.067405526,0.104151002,0.57635315
13,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,964,7.022208712,0.048337114,78.99982452,50490.67578,0.066870953,0.169545244,0.83440032
14,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,980,8.026817574,0.04919868,79.70076752,50938.66406,0.060964415,0.243588013,1.129860546
15,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,980,9.023279077,0.04776497,78.53089142,50190.96875,0.047311883,0.318594988,1.413905623
16,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,980,10.01028309,0.047581934,78.38027954,50094.70703,0.044668416,0.347654812,1.514610314
17,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,980,11.00618506,0.047981751,78.70889282,50304.73438,0.037600838,0.395713807,1.686294395
18,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,980,11.99591851,0.048972598,79.51743317,50821.49219,0.037967104,0.415747824,1.772097747
19,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,980,13.05155413,0.049400092,79.86373901,51042.82422,0.049958323,0.431022582,1.807495476
20,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,970,14.03389082,0.048336676,78.99946594,50490.44531,0.079443126,0.369508938,1.561229447
21,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,970,15.00349469,0.04672177,77.66858673,49639.84766,0.092607265,0.368243392,1.537448945
22,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,984,15.97903509,0.048222881,78.90642548,50430.98047,0.097781666,0.402715502,1.665485093
23,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,1004,16.98234747,0.048261936,78.93836975,50451.39844,0.127529558,0.37266818,1.521258512
24,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,1004,18.06013244,0.04888783,79.44858551,50777.48828,0.152319339,0.348586501,1.373082291
25,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,1004,18.93921466,0.047501731,78.31419373,50052.47266,0.160297235,0.358118111,1.394891341
26,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,1004,20.02707124,0.047415745,78.24328613,50007.15234,0.169037812,0.373061112,1.444130029
