alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
-5,0,-0.058474,0.000585,0.051129,0.051713,0,0,-0.144149,0,0,15.24,-0.0941
-4.5,0,-0.02101,0.000441,0.052836,0.053277,0,0,-0.173884,0,0,15.24,-0.3135
-4,0,0.01646,0.000445,0.049536,0.04998,0,0,-0.204782,0,0,15.24,0.4659
-3.5,0,0.05393,0.000595,0.04774,0.048335,0,0,-0.235482,0,0,15.24,0.1623
-3,0,0.091393,0.000893,0.046177,0.04707,0,0,-0.26619,0,0,15.24,0.1076
-2.5,0,0.128843,0.001338,0.044863,0.046201,0,0,-0.296897,0,0,15.24,0.0847
-2,0,0.166273,0.00193,0.044015,0.045945,0,0,-0.327588,0,0,15.24,0.0721
-1.5,0,0.203675,0.002668,0.043594,0.046262,0,0,-0.358253,0,0,15.24,0.0642
-1,0,0.241044,0.003552,0.043689,0.047241,0,0,-0.388885,0,0,15.24,0.0587
-0.5,0,0.278373,0.004582,0.044151,0.048732,0,0,-0.419477,0,0,15.24,0.0547
0,0,0.315655,0.005756,0.045307,0.051063,0,0,-0.450026,0,0,15.24,0.0517
0.5,0,0.352883,0.007074,0.04773,0.054804,0,0,-0.480531,0,0,15.24,0.0493
1,0,0.390051,0.008535,0.050959,0.059493,0,0,-0.511027,0,0,15.24,0.0473
1.5,0,0.427152,0.010138,0.054798,0.064936,0,0,-0.541496,0,0,15.24,0.0457
2,0,0.46418,0.011881,0.059112,0.070993,0,0,-0.571966,0,0,15.24,0.0444
2.5,0,0.501129,0.013764,0.064016,0.07778,0,0,-0.602406,0,0,15.24,0.0432
3,0,0.537991,0.015785,0.068122,0.083908,0,0,-0.632937,0,0,15.24,0.0423
3.5,0,0.57476,0.017943,0.071449,0.089392,0,0,-0.663526,0,0,15.24,0.0414
4,0,0.61143,0.020236,0.0749,0.095136,0,0,-0.694102,0,0,15.24,0.0407
4.5,0,0.647995,0.022662,0.077363,0.100025,0,0,-0.724718,0,0,15.24,0.04
5,0,0.684449,0.02522,0.080305,0.105525,0,0,-0.75527,0,0,15.24,0.0394
5.5,0,0.720784,0.027908,0.083834,0.111742,0,0,-0.785767,0,0,15.24,0.0389
6,0,0.756995,0.030724,0.087314,0.118038,0,0,-0.816232,0,0,15.24,0.0384
6.5,0,0.793076,0.033665,0.091573,0.125238,0,0,-0.846649,0,0,15.24,0.038
7,0,0.82902,0.03673,0.096411,0.133141,0,0,-0.877031,0,0,15.24,0.0376
7.5,0,0.864822,0.039916,0.105869,0.145785,0,0,-0.907413,0,0,15.24,0.0373
8,0,0.900476,0.043222,0.111989,0.155211,0,0,-0.93778,0,0,15.24,0.037
8.5,0,0.935975,0.046643,0.125148,0.171791,0,0,-0.96832,0,0,15.24,0.0367
