time,pitch_desired,ang_pitch,angvel_pitch,u2
0,0,0,0,0
0.02,0.009868565,0,0,0.024671414
0.04,0.019730898,0.001233571,0.123357068,0.024655831
0.06,0.029580767,0.004933504,0.24663622,0.018456821
0.08,0.039411953,0.010789069,0.338920325,0.012246154
0.1,0.049218246,0.018179783,0.400151094,0.007569715
0.12,0.058993451,0.026561291,0.437999668,0.004430458
0.14,0.068731395,0.035542807,0.46015196,0.002444876
0.16,0.078425926,0.04486809,0.472376338,0.001228731
0.18,0.088070922,0.054377053,0.478519991,0.000493673
0.2,0.09766029,0.063972137,0.480988355,4.74216E-05
0.22,0.107187974,0.073594275,0.481225463,-0.000230207
0.24,0.116647956,0.083207274,0.480074426,-0.000411318
0.26,0.126034261,0.092788196,0.478017833,-0.00053796
0.28,0.135340959,0.102321655,0.475328034,-0.000634145
0.3,0.144562174,0.111796509,0.472157308,-0.000713366
0.32,0.15369208,0.121203986,0.468590479,-0.000783101
0.34,0.16272491,0.130536641,0.464674974,-0.000847448
0.36,0.17165496,0.139787768,0.460437736,-0.000908624
0.38,0.180476589,0.148951092,0.455894618,-0.000967814
0.4,0.189184225,0.158020593,0.451055548,-0.00102564
0.42,0.197772369,0.166990422,0.445927345,-0.001082419
0.44,0.206235595,0.175854848,0.440515251,-0.001138302
0.46,0.214568558,0.184608238,0.434823741,-0.001193354
0.48,0.222765995,0.193245045,0.428856969,-0.001247594
0.5,0.230822729,0.201759805,0.422618999,-0.001301015
0.52,0.23873367,0.210147134,0.416113924,-0.001353598
0.54,0.246493821,0.218401733,0.409345935,-0.001405317
0.56,0.254098282,0.226518386,0.402319348,-0.001456145
0.58,0.261542249,0.234491965,0.395038624,-0.00150605
0.6,0.26882102,0.242317435,0.387508372,-0.001555003
0.62,0.275929998,0.249989852,0.379733355,-0.001602974
0.64,0.282864693,0.257504371,0.371718487,-0.001649931
0.66,0.289620724,0.264856244,0.363468833,-0.001695846
0.68,0.296193825,0.272040828,0.354989602,-0.00174069
0.7,0.302579843,0.279053586,0.346286152,-0.001784434
0.72,0.308774745,0.285890087,0.33736398,-0.001827052
0.74,0.314774619,0.292546014,0.328228722,-0.001868515
0.76,0.320575674,0.299017163,0.318886147,-0.001908798
0.78,0.326174247,0.305299446,0.309342157,-0.001947875
0.8,0.331566801,0.311388895,0.29960278,-0.001985723
0.82,0.33674993,0.317281665,0.289674167,-0.002022315
0.84,0.341720361,0.322974032,0.27956259,-0.002057631
0.86,0.346474954,0.328462403,0.269274435,-0.002091647
0.88,0.351010706,0.333743309,0.258816201,-0.002124342
0.9,0.355324753,0.338813416,0.248194492,-0.002155695
0.92,0.359414368,0.343669521,0.237416019,-0.002185686
0.94,0.36327697,0.348308557,0.226487589,-0.002214297
0.96,0.366910118,0.352727594,0.215416104,-0.002241509
0.98,0.370311517,0.356923841,0.204208558,-0.002267306
1,0.373479021,0.360894647,0.192872029,-0.00229167
1.02,0.376410626,0.364637504,0.181413678,-0.002314587
1.04,0.379104483,0.368150048,0.169840743,-0.002336042
1.06,0.381558889,0.371430061,0.158160532,-0.002356022
1.08,0.383772295,0.37447547,0.146380424,-0.002374513
1.1,0.385743301,0.377284353,0.134507859,-0.002391505
1.12,0.387470664,0.379854935,0.122550336,-0.002406986
1.14,0.388953292,0.382185592,0.110515407,-0.002420947
1.16,0.390190249,0.384274853,0.098410675,-0.002433378
1.18,0.391180754,0.386121398,0.086243784,-0.002444273
1.2,0.39192418,0.38772406,0.07402242,-0.002453624
