time (s), accel_x (m/s^2), accel_y (m/s^2), accel_z (m/s^2), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), mocap_counter, counter, desired x, desired y, desired z, desired yaw
0.0000, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0042, -0.0943, -0.0462, 0.0604, -0.0763, 310, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.0200, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0462, 0.0603, -0.0763, 311, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.0400, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0043, -0.0944, -0.0462, 0.0604, -0.0765, 312, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.0600, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0042, -0.0943, -0.0464, 0.0604, -0.0766, 313, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.0800, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0461, 0.0602, -0.0763, 314, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.1000, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0043, -0.0943, -0.0462, 0.0605, -0.0764, 315, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.1200, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0462, 0.0603, -0.0764, 316, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.1400, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0043, -0.0944, -0.0460, 0.0602, -0.0763, 317, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.1600, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0463, 0.0603, -0.0765, 318, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.1800, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0042, -0.0944, -0.0461, 0.0603, -0.0765, 319, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.2030, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0462, 0.0604, -0.0765, 320, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.2230, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0042, -0.0943, -0.0462, 0.0603, -0.0763, 321, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.2430, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0462, 0.0602, -0.0764, 322, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.2630, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0042, -0.0943, -0.0463, 0.0605, -0.0764, 323, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.2830, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0043, -0.0944, -0.0461, 0.0602, -0.0763, 324, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.3030, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0462, 0.0603, -0.0764, 325, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.3230, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0944, -0.0462, 0.0602, -0.0764, 326, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.3430, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0042, -0.0943, -0.0461, 0.0603, -0.0764, 327, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.3650, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0042, -0.0943, -0.0464, 0.0602, -0.0767, 328, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.3850, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0042, -0.0944, -0.0461, 0.0603, -0.0764, 329, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.4050, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0462, 0.0602, -0.0765, 330, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.4250, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0042, -0.0944, -0.0461, 0.0603, -0.0764, 331, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.4450, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0461, 0.0602, -0.0764, 332, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.4650, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0463, 0.0602, -0.0764, 333, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.4850, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0042, -0.0944, -0.0461, 0.0603, -0.0763, 334, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.5050, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0943, -0.0462, 0.0602, -0.0764, 335, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.5250, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0262, -0.0043, -0.0944, -0.0461, 0.0603, -0.0764, 336, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.5450, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0043, -0.0943, -0.0461, 0.0604, -0.0765, 337, 118316, 0.0000, 0.0000, 0.0000, 0.0000
0.5650, -0.4511, 0.2746, -9.5223, 0.0016, 0.0073, 0.0035, -0.0261, -0.0043, -0.0944, -0.0461, 0.0602, -0.0764, 338, 118316, 0.0000, 0.0000, 0.0000, 0.0000
