time (s), accel_x (m/s^2), accel_y (m/s^2), accel_z (m/s^2), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), mocap_counter, counter, desired x, desired y, desired z, desired yaw
0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0302, -0.0040, -0.0006, 213, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0301, -0.0039, -0.0006, 214, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0213, -0.0967, -0.0301, -0.0041, -0.0009, 215, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0610, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0301, -0.0039, -0.0006, 216, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0301, -0.0040, -0.0007, 217, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1010, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0302, -0.0040, -0.0007, 218, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0967, -0.0302, -0.0039, -0.0008, 219, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1400, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0264, 0.0212, -0.0968, -0.0301, -0.0040, -0.0007, 220, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1610, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0302, -0.0039, -0.0007, 221, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0301, -0.0039, -0.0007, 222, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2010, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0302, -0.0041, -0.0006, 223, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0967, -0.0301, -0.0039, -0.0008, 224, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0301, -0.0040, -0.0007, 225, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2610, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0302, -0.0039, -0.0007, 226, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0302, -0.0039, -0.0007, 227, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3010, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0264, 0.0212, -0.0968, -0.0302, -0.0040, -0.0006, 228, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0266, 0.0212, -0.0967, -0.0301, -0.0040, -0.0009, 229, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3400, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0264, 0.0212, -0.0968, -0.0301, -0.0040, -0.0006, 230, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3610, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0967, -0.0302, -0.0039, -0.0008, 231, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0301, -0.0040, -0.0005, 232, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4010, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0967, -0.0302, -0.0040, -0.0010, 233, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0302, -0.0040, -0.0006, 234, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0300, -0.0040, -0.0006, 235, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4610, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0213, -0.0967, -0.0302, -0.0040, -0.0009, 236, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0969, -0.0302, -0.0040, -0.0007, 237, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.5010, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0967, -0.0301, -0.0041, -0.0010, 238, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.5210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0301, -0.0040, -0.0007, 239, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.5410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0265, 0.0212, -0.0968, -0.0301, -0.0040, -0.0007, 240, 0, 0.0000, 0.0000, 0.0000, 0.0000
