time (s), accel_x (m/s^2), accel_y (m/s^2), accel_z (m/s^2), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), mocap_counter, counter, desired x, desired y, desired z, desired yaw
0.0000, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0918, -0.0024, 0.0017, -0.0050, 889, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.0200, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0918, -0.0025, 0.0018, -0.0042, 890, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.0400, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0021, -0.0917, -0.0024, 0.0015, -0.0043, 891, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.0600, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0945, -0.0021, -0.0919, -0.0025, 0.0019, -0.0047, 892, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.0800, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0918, -0.0023, 0.0015, -0.0049, 893, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.1000, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0022, -0.0917, -0.0025, 0.0015, -0.0044, 894, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.1200, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0022, -0.0917, -0.0024, 0.0017, -0.0037, 895, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.1400, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0918, -0.0023, 0.0015, -0.0047, 896, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.1600, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0945, -0.0022, -0.0918, -0.0025, 0.0018, -0.0049, 897, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.1800, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0021, -0.0918, -0.0024, 0.0016, -0.0047, 898, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.2000, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0022, -0.0918, -0.0024, 0.0017, -0.0043, 899, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.2200, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0917, -0.0025, 0.0017, -0.0041, 900, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.2400, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0022, -0.0919, -0.0023, 0.0017, -0.0048, 901, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.2600, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0022, -0.0918, -0.0024, 0.0017, -0.0051, 902, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.2800, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0021, -0.0919, -0.0023, 0.0015, -0.0047, 903, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.3000, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0022, -0.0917, -0.0024, 0.0015, -0.0042, 904, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.3200, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0918, -0.0026, 0.0017, -0.0043, 905, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.3400, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0918, -0.0025, 0.0018, -0.0044, 906, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.3600, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0022, -0.0918, -0.0024, 0.0017, -0.0049, 907, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.3800, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0021, -0.0919, -0.0027, 0.0016, -0.0044, 908, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.4000, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0917, -0.0024, 0.0014, -0.0040, 909, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.4200, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0021, -0.0919, -0.0025, 0.0018, -0.0046, 910, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.4400, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0917, -0.0025, 0.0013, -0.0043, 911, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.4600, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0022, -0.0919, -0.0023, 0.0017, -0.0047, 912, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.4800, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0021, -0.0918, -0.0025, 0.0015, -0.0041, 913, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.5000, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0917, -0.0024, 0.0016, -0.0042, 914, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.5200, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0021, -0.0919, -0.0025, 0.0018, -0.0047, 915, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.5400, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0917, -0.0026, 0.0015, -0.0046, 916, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.5600, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0022, -0.0919, -0.0025, 0.0017, -0.0041, 917, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.5800, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0917, -0.0023, 0.0014, -0.0039, 918, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.6000, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0022, -0.0918, -0.0026, 0.0015, -0.0041, 919, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.6200, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0918, -0.0024, 0.0018, -0.0050, 920, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.6400, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0021, -0.0917, -0.0025, 0.0013, -0.0045, 921, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.6600, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0022, -0.0918, -0.0025, 0.0016, -0.0042, 922, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.6800, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0917, -0.0024, 0.0015, -0.0043, 923, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.7000, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0919, -0.0026, 0.0017, -0.0048, 924, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.7200, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0021, -0.0917, -0.0025, 0.0016, -0.0044, 925, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.7400, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0918, -0.0023, 0.0014, -0.0047, 926, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.7600, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0022, -0.0918, -0.0022, 0.0014, -0.0042, 927, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.7800, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0918, -0.0025, 0.0018, -0.0044, 928, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.8000, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0022, -0.0919, -0.0023, 0.0014, -0.0048, 929, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.8200, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0943, -0.0022, -0.0917, -0.0026, 0.0015, -0.0046, 930, 50859, 0.0000, 0.0000, 0.0000, 0.0000
0.8400, -0.5590, 0.0981, -10.0224, 0.0035, 0.0003, -0.0097, -0.0944, -0.0021, -0.0919, -0.0024, 0.0016, -0.0046, 931, 50859, 0.0000, 0.0000, 0.0000, 0.0000
