time (s), accel_x (m/s^2), accel_y (m/s^2), accel_z (m/s^2), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), mocap_counter, counter, desired x, desired y, desired z, desired yaw
0.0000, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0396, -0.0052, -0.0949, 0.0001, 0.0427, -0.0590, 108, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.0200, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0397, -0.0052, -0.0949, -0.0000, 0.0427, -0.0590, 109, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.0400, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0395, -0.0052, -0.0949, 0.0000, 0.0428, -0.0589, 110, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.0600, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0397, -0.0052, -0.0949, 0.0002, 0.0428, -0.0590, 111, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.0800, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0395, -0.0051, -0.0949, 0.0000, 0.0429, -0.0590, 112, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.1000, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0396, -0.0052, -0.0948, -0.0001, 0.0427, -0.0590, 113, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.1200, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0397, -0.0052, -0.0949, -0.0001, 0.0427, -0.0591, 114, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.1400, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0396, -0.0051, -0.0949, -0.0001, 0.0426, -0.0590, 115, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.1600, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0397, -0.0052, -0.0948, 0.0000, 0.0425, -0.0589, 116, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.1800, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0396, -0.0052, -0.0949, -0.0001, 0.0426, -0.0590, 117, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.2000, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0397, -0.0052, -0.0948, -0.0001, 0.0424, -0.0590, 118, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.2200, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0397, -0.0052, -0.0949, -0.0001, 0.0423, -0.0590, 119, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.2400, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0397, -0.0052, -0.0949, -0.0003, 0.0424, -0.0590, 120, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.2600, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0398, -0.0052, -0.0949, -0.0001, 0.0423, -0.0590, 121, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.2800, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0397, -0.0052, -0.0949, -0.0001, 0.0423, -0.0589, 122, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.3000, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0398, -0.0052, -0.0948, -0.0001, 0.0421, -0.0590, 123, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.3200, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0397, -0.0052, -0.0949, 0.0001, 0.0424, -0.0589, 124, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.3400, -0.6472, 0.0686, -9.5223, 0.0067, 0.0046, -0.0177, -0.0398, -0.0052, -0.0949, -0.0000, 0.0422, -0.0590, 125, 52467, 0.5000, 0.5000, -1.0000, 0.0000
0.3600, -0.6865, 0.1177, -9.5419, 0.0000, -0.0065, -0.0038, -0.0397, -0.0052, -0.0949, 0.0000, 0.0423, -0.0589, 126, 53467, 0.5000, 0.5000, -1.0000, 0.0000
0.3800, -0.6865, 0.1177, -9.5419, 0.0000, -0.0065, -0.0038, -0.0397, -0.0052, -0.0949, 0.0000, 0.0423, -0.0591, 127, 53467, 0.5000, 0.5000, -1.0000, 0.0000
0.4000, -0.6865, 0.1177, -9.5419, 0.0000, -0.0065, -0.0038, -0.0396, -0.0051, -0.0948, -0.0000, 0.0424, -0.0592, 128, 53467, 0.5000, 0.5000, -1.0000, 0.0000
