time (s), accel_x (m/s^2), accel_y (m/s^2), accel_z (m/s^2), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), mocap_counter, counter, desired x, desired y, desired z, desired yaw
0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0035, 0.0008, -0.0833, 0.0254, -0.0051, 0.0067, 672, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0200, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0037, 0.0007, -0.0834, 0.0251, -0.0052, 0.0065, 673, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0400, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0037, 0.0008, -0.0833, 0.0250, -0.0051, 0.0072, 674, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0600, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0036, 0.0009, -0.0832, 0.0252, -0.0051, 0.0067, 675, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0036, 0.0008, -0.0834, 0.0250, -0.0048, 0.0069, 676, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0037, 0.0006, -0.0834, 0.0250, -0.0051, 0.0071, 677, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0037, 0.0007, -0.0832, 0.0251, -0.0048, 0.0069, 678, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0036, 0.0009, -0.0833, 0.0253, -0.0051, 0.0063, 679, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1610, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0036, 0.0008, -0.0833, 0.0248, -0.0050, 0.0067, 680, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0037, 0.0007, -0.0833, 0.0251, -0.0050, 0.0066, 681, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0037, 0.0008, -0.0833, 0.0250, -0.0052, 0.0067, 682, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0036, 0.0008, -0.0833, 0.0251, -0.0047, 0.0072, 683, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0036, 0.0008, -0.0834, 0.0250, -0.0049, 0.0065, 684, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2610, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0037, 0.0008, -0.0833, 0.0251, -0.0050, 0.0069, 685, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0036, 0.0007, -0.0832, 0.0253, -0.0052, 0.0066, 686, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0036, 0.0008, -0.0833, 0.0251, -0.0050, 0.0066, 687, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3200, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0037, 0.0007, -0.0834, 0.0249, -0.0049, 0.0070, 688, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0037, 0.0008, -0.0833, 0.0252, -0.0049, 0.0069, 689, 0, 0.0000, 0.0000, 0.0000, 0.0000
