y[ft]	L
0	5916.897203
0.1	5913.794777
0.2	5910.689394
0.3	5907.581054
0.4	5904.469757
0.5	5901.355504
0.6	5898.238293
0.7	5895.118124
0.8	5891.994999
0.9	5888.868916
1	5885.739876
1.1	5882.607879
1.2	5879.472924
1.3	5876.335011
1.4	5873.19414
1.5	5870.050312
1.6	5866.903525
1.7	5863.75378
1.8	5860.601077
1.9	5857.445415
2	5854.286794
2.1	5851.125214
2.2	5847.960675
2.3	5844.793176
2.4	5841.622718
2.5	5838.449299
2.6	5835.272921
2.7	5832.093582
2.8	5828.911282
2.9	5825.726021
3	5822.537799
3.1	5819.346615
3.2	5816.152469
3.3	5812.955361
3.4	5809.75529
3.5	5806.552256
3.6	5803.346259
3.7	5800.137299
3.8	5796.925374
3.9	5793.710484
4	5790.49263
4.1	5787.27181
4.2	5784.048025
4.3	5780.821273
4.4	5777.591555
4.5	5774.35887
4.6	5771.123217
4.7	5767.884596
4.8	5764.643007
4.9	5761.398448
5	5758.15092
5.1	5754.900422
5.2	5751.646954
5.3	5748.390514
5.4	5745.131103
5.5	5741.868719
5.6	5738.603363
5.7	5735.335033
5.8	5732.06373
5.9	5728.789451
6	5725.512198
6.1	5722.231968
6.2	5718.948763
6.3	5715.66258
6.4	5712.373419
6.5	5709.08128
6.6	5705.786161
6.7	5702.488063
6.8	5699.186985
6.9	5695.882925
7	5692.575883
7.1	5689.265858
7.2	5685.95285
7.3	5682.636858
7.4	5679.317881
7.5	5675.995918
7.6	5672.670968
7.7	5669.343031
7.8	5666.012106
7.9	5662.678192
8	5659.341289
8.1	5656.001394
8.2	5652.658508
8.3	5649.31263
8.4	5645.963758
8.5	5642.611892
8.6	5639.257031
8.7	5635.899174
8.8	5632.538321
8.9	5629.174469
9	5625.807619
9.1	5622.437769
9.2	5619.064918
9.3	5615.689066
9.4	5612.310211
9.5	5608.928352
9.6	5605.543488
9.7	5602.155619
9.8	5598.764743
9.9	5595.37086
10	5591.973967
10.1	5588.574065
10.2	5585.171152
10.3	5581.765226
10.4	5578.356287
10.5	5574.944335
10.6	5571.529366
10.7	5568.111381
10.8	5564.690379
10.9	5561.266357
11	5557.839316
11.1	5554.409253
11.2	5550.976167
11.3	5547.540059
11.4	5544.100925
11.5	5540.658765
11.6	5537.213578
11.7	5533.765362
11.8	5530.314117
11.9	5526.85984
12	5523.402531
12.1	5519.942188
12.2	5516.47881
12.3	5513.012396
12.4	5509.542944
12.5	5506.070453
12.6	5502.594922
12.7	5499.116349
12.8	5495.634733
12.9	5492.150072
13	5488.662365
13.1	5485.171611
13.2	5481.677808
13.3	5478.180955
13.4	5474.68105
13.5	5471.178092
13.6	5467.672079
13.7	5464.16301
13.8	5460.650884
13.9	5457.135698
14	5453.617452
14.1	5450.096143
14.2	5446.57177
14.3	5443.044332
14.4	5439.513828
14.5	5435.980254
14.6	5432.443611
14.7	5428.903895
14.8	5425.361106
14.9	5421.815243
15	5418.266302
15.1	5414.714283
15.2	5411.159184
15.3	5407.601004
15.4	5404.03974
15.5	5400.47539
15.6	5396.907954
15.7	5393.33743
15.8	5389.763814
15.9	5386.187107
16	5382.607306
16.1	5379.024409
16.2	5375.438414
16.3	5371.84932
16.4	5368.257125
16.5	5364.661827
16.6	5361.063424
16.7	5357.461914
16.8	5353.857295
16.9	5350.249566
17	5346.638724
17.1	5343.024768
17.2	5339.407695
17.3	5335.787504
17.4	5332.164193
17.5	5328.53776
17.6	5324.908202
17.7	5321.275518
17.8	5317.639706
17.9	5314.000763
18	5310.358688
18.1	5306.713479
18.2	5303.065133
18.3	5299.413648
18.4	5295.759023
18.5	5292.101255
18.6	5288.440342
18.7	5284.776282
18.8	5281.109072
18.9	5277.438711
19	5273.765197
19.1	5270.088526
19.2	5266.408698
19.3	5262.725709
19.4	5259.039557
19.5	5255.350241
19.6	5251.657758
19.7	5247.962106
19.8	5244.263281
19.9	5240.561283
20	5236.856109
20.1	5233.147755
20.2	5229.436221
20.3	5225.721503
20.4	5222.0036
20.5	5218.282508
20.6	5214.558226
20.7	5210.830751
20.8	5207.10008
20.9	5203.366211
21	5199.629142
21.1	5195.88887
21.2	5192.145392
21.3	5188.398706
21.4	5184.64881
21.5	5180.895701
21.6	5177.139376
21.7	5173.379833
21.8	5169.617069
21.9	5165.851081
22	5162.081867
22.1	5158.309425
22.2	5154.533751
22.3	5150.754843
22.4	5146.972698
22.5	5143.187314
22.6	5139.398688
22.7	5135.606816
22.8	5131.811697
22.9	5128.013327
23	5124.211704
23.1	5120.406825
23.2	5116.598686
23.3	5112.787286
23.4	5108.972621
23.5	5105.154689
23.6	5101.333486
23.7	5097.50901
23.8	5093.681258
23.9	5089.850226
24	5086.015913
24.1	5082.178314
24.2	5078.337427
24.3	5074.493249
24.4	5070.645776
24.5	5066.795007
24.6	5062.940937
24.7	5059.083563
24.8	5055.222884
24.9	5051.358894
25	5047.491592
25.1	5043.620974
25.2	5039.747038
25.3	5035.869778
25.4	5031.989194
25.5	5028.105281
25.6	5024.218036
25.7	5020.327455
25.8	5016.433537
25.9	5012.536277
26	5008.635671
26.1	5004.731718
26.2	5000.824412
26.3	4996.913752
26.4	4992.999733
26.5	4989.082352
26.6	4985.161606
26.7	4981.237492
26.8	4977.310005
26.9	4973.379143
27	4969.444901
27.1	4965.507277
27.2	4961.566267
27.3	4957.621867
27.4	4953.674073
27.5	4949.722883
27.6	4945.768292
27.7	4941.810297
27.8	4937.848894
27.9	4933.88408
28	4929.91585
28.1	4925.944202
28.2	4921.969131
28.3	4917.990634
28.4	4914.008706
28.5	4910.023345
28.6	4906.034546
28.7	4902.042305
28.8	4898.046619
28.9	4894.047484
29	4890.044895
29.1	4886.038849
29.2	4882.029342
29.3	4878.016371
29.4	4873.99993
29.5	4869.980016
29.6	4865.956625
29.7	4861.929753
29.8	4857.899396
29.9	4853.86555
30	4849.82821
30.1	4845.787373
30.2	4841.743035
30.3	4837.69519
30.4	4833.643836
30.5	4829.588967
30.6	4825.53058
30.7	4821.46867
30.8	4817.403234
30.9	4813.334266
31	4809.261762
31.1	4805.185718
31.2	4801.10613
31.3	4797.022994
31.4	4792.936304
31.5	4788.846056
31.6	4784.752246
31.7	4780.65487
31.8	4776.553923
31.9	4772.449399
32	4768.341296
32.1	4764.229608
32.2	4760.11433
32.3	4755.995459
32.4	4751.872988
32.5	4747.746914
32.6	4743.617232
32.7	4739.483937
32.8	4735.347025
32.9	4731.206489
33	4727.062327
33.1	4722.914533
33.2	4718.763101
33.3	4714.608028
33.4	4710.449308
33.5	4706.286937
33.6	4702.120908
33.7	4697.951218
33.8	4693.777861
33.9	4689.600833
34	4685.420128
34.1	4681.23574
34.2	4677.047666
34.3	4672.8559
34.4	4668.660436
34.5	4664.46127
34.6	4660.258395
34.7	4656.051808
34.8	4651.841503
34.9	4647.627473
35	4643.409715
35.1	4639.188222
35.2	4634.962989
35.3	4630.734011
35.4	4626.501283
35.5	4622.264798
35.6	4618.024552
35.7	4613.780538
35.8	4609.532751
35.9	4605.281186
36	4601.025837
36.1	4596.766698
36.2	4592.503763
36.3	4588.237028
36.4	4583.966485
36.5	4579.69213
36.6	4575.413956
36.7	4571.131958
36.8	4566.846129
36.9	4562.556465
37	4558.262958
37.1	4553.965603
37.2	4549.664394
37.3	4545.359325
37.4	4541.050389
37.5	4536.737581
37.6	4532.420895
37.7	4528.100324
37.8	4523.775863
37.9	4519.447504
38	4515.115242
38.1	4510.779071
38.2	4506.438983
38.3	4502.094973
38.4	4497.747034
38.5	4493.395161
38.6	4489.039345
38.7	4484.679582
38.8	4480.315864
38.9	4475.948184
39	4471.576537
39.1	4467.200915
39.2	4462.821312
39.3	4458.437721
39.4	4454.050135
39.5	4449.658548
39.6	4445.262953
39.7	4440.863343
39.8	4436.45971
39.9	4432.052049
40	4427.640352
40.1	4423.224611
40.2	4418.804821
40.3	4414.380974
40.4	4409.953062
40.5	4405.521079
40.6	4401.085018
40.7	4396.64487
40.8	4392.20063
40.9	4387.752289
41	4383.29984
41.1	4378.843276
41.2	4374.382589
41.3	4369.917773
41.4	4365.448818
41.5	4360.975718
41.6	4356.498466
41.7	4352.017053
41.8	4347.531472
41.9	4343.041715
42	4338.547774
42.1	4334.049642
42.2	4329.54731
42.3	4325.040772
42.4	4320.530018
42.5	4316.01504
42.6	4311.495832
42.7	4306.972384
42.8	4302.444689
42.9	4297.912738
43	4293.376523
43.1	4288.836036
43.2	4284.291269
43.3	4279.742213
43.4	4275.18886
43.5	4270.631201
43.6	4266.069228
43.7	4261.502932
43.8	4256.932305
43.9	4252.357338
44	4247.778023
44.1	4243.19435
44.2	4238.606312
44.3	4234.013898
44.4	4229.4171
44.5	4224.81591
44.6	4220.210318
44.7	4215.600315
44.8	4210.985892
44.9	4206.36704
45	4201.74375
45.1	4197.116013
45.2	4192.483818
45.3	4187.847158
45.4	4183.206022
45.5	4178.560401
45.6	4173.910286
45.7	4169.255666
45.8	4164.596533
45.9	4159.932877
46	4155.264687
46.1	4150.591954
46.2	4145.914669
46.3	4141.232821
46.4	4136.5464
46.5	4131.855397
46.6	4127.159801
46.7	4122.459602
46.8	4117.754791
46.9	4113.045355
47	4108.331287
47.1	4103.612574
47.2	4098.889206
47.3	4094.161174
47.4	4089.428467
47.5	4084.691073
47.6	4079.948982
47.7	4075.202184
47.8	4070.450667
47.9	4065.694421
48	4060.933435
48.1	4056.167698
48.2	4051.397198
48.3	4046.621925
48.4	4041.841867
48.5	4037.057013
48.6	4032.267352
48.7	4027.472873
48.8	4022.673563
48.9	4017.869411
49	4013.060407
49.1	4008.246537
49.2	4003.42779
49.3	3998.604155
49.4	3993.775619
49.5	3988.942171
49.6	3984.103798
49.7	3979.260488
49.8	3974.41223
49.9	3969.559011
50	3964.700818
50.1	3959.837639
50.2	3954.969461
50.3	3950.096273
50.4	3945.218061
50.5	3940.334812
50.6	3935.446515
50.7	3930.553155
50.8	3925.65472
50.9	3920.751197
51	3915.842572
51.1	3910.928833
51.2	3906.009967
51.3	3901.085959
51.4	3896.156796
51.5	3891.222465
51.6	3886.282952
51.7	3881.338244
51.8	3876.388326
51.9	3871.433185
52	3866.472806
52.1	3861.507176
52.2	3856.53628
52.3	3851.560105
52.4	3846.578635
52.5	3841.591856
52.6	3836.599754
52.7	3831.602314
52.8	3826.599521
52.9	3821.591361
53	3816.577819
53.1	3811.558879
53.2	3806.534526
53.3	3801.504746
53.4	3796.469522
53.5	3791.42884
53.6	3786.382684
53.7	3781.331038
53.8	3776.273887
53.9	3771.211214
54	3766.143004
54.1	3761.06924
54.2	3755.989907
54.3	3750.904988
54.4	3745.814467
54.5	3740.718328
54.6	3735.616553
54.7	3730.509126
54.8	3725.39603
54.9	3720.277249
55	3715.152765
55.1	3710.02256
55.2	3704.886619
55.3	3699.744923
55.4	3694.597454
55.5	3689.444195
55.6	3684.285129
55.7	3679.120238
55.8	3673.949502
55.9	3668.772905
56	3663.590428
56.1	3658.402052
56.2	3653.207759
56.3	3648.007531
56.4	3642.801348
56.5	3637.589191
56.6	3632.371043
56.7	3627.146882
56.8	3621.91669
56.9	3616.680448
57	3611.438136
57.1	3606.189734
57.2	3600.935222
57.3	3595.67458
57.4	3590.407789
57.5	3585.134826
57.6	3579.855673
