SAMPLE 1,SAMPLE 2,SAMPLE 3,SAMPLE 4,SAMPLE 5
24.986,25.02,25.019,24.991,24.99
24.999,25.009,24.952,24.981,24.955
24.983,24.988,24.986,24.983,24.959
24.999,24.996,25.007,24.963,24.98
24.952,24.947,24.997,24.991,24.951
24.99,24.929,24.988,24.979,25.018
24.979,25.006,24.978,24.976,24.985
24.973,25.006,25.014,24.996,24.945
24.967,24.968,24.971,24.991,24.996
24.998,24.996,25.009,24.963,24.97
24.971,25.009,25.03,24.994,24.976
24.999,24.965,24.993,24.975,24.975
25.003,25.004,24.965,24.973,25.012
24.98,24.965,24.96,24.946,24.965
24.983,24.995,25.018,24.958,24.974
24.993,25.012,24.987,24.965,24.95
25.021,24.942,24.982,25.02,24.971
25,24.969,24.961,24.994,24.986
24.989,25.03,24.962,25.02,24.982
24.989,24.984,24.997,24.972,25.016
24.985,24.992,24.964,24.962,25.017
24.999,24.997,24.989,24.984,24.961
24.951,25.007,25.001,24.975,25.015
