AR,AOA (deg) 1,CD_i 1,CL 1,AOA (deg) 2,CD_i 2,CL 2,Lift Curve Slope,Ideal Lift Curve,Calc CD_i
2,0,0,0,5,0.0055459,0.18075,2.071242429,6.283185307,0.00451035049
3,0,0,0,5,0.005339,0.21833,2.501877508,6.283185307,0.004371768236
4,0,0,0,5,0.0048878,0.24215,2.774834602,6.283185307,0.004020604033
5,0,0,0,5,0.0044358,0.25843,2.96138966,6.283185307,0.003652913038
6,0,0,0,5,0.0040458,0.27022,3.096493108,6.283185307,0.003319176057
7,0,0,0,5,0.0037006,0.27912,3.198479596,6.283185307,0.003027735237
8,0,0,0,5,0.0034015,0.28608,3.278235321,6.283185307,0.002776253081
9,0,0,0,5,0.0031478,0.29166,3.342177411,6.283185307,0.002558994902
10,0,0,0,5,0.0029236,0.29623,3.394545753,6.283185307,0.002370490512
11,0,0,0,5,0.0027333,0.30005,3.438319729,6.283185307,0.002206122551
12,0,0,0,5,0.0025626,0.30328,3.475332802,6.283185307,0.002061699527
