Frequency [Hz], FFT Amplitude [Vrms]
0,25.482
7.812,18.038
15.625,0.715
23.437,0.641
31.25,0.602
39.062,0.66
46.875,0.606
54.687,0.604
62.5,0.621
70.312,0.637
78.125,0.623
85.937,0.599
93.75,0.597
101.562,0.582
109.375,0.496
117.187,0.566
125,0.646
132.812,0.58
140.625,0.561
148.437,0.614
156.25,0.589
164.062,0.556
171.875,0.55
179.687,0.55
187.5,0.581
195.312,0.573
203.125,0.57
210.937,0.542
218.75,0.511
226.562,0.599
234.375,0.635
242.187,0.675
250,0.693
257.812,0.744
265.625,0.931
273.437,1.206
281.25,1.64
289.062,2.826
296.875,3.606
304.687,2.966
312.5,1.599
320.312,1.206
328.125,0.932
335.937,0.643
343.75,0.577
351.562,0.52
359.375,0.55
367.187,0.54
375,0.516
382.812,0.482
390.625,0.442
398.437,0.498
406.25,0.47
414.062,0.436
421.875,0.465
429.687,0.452
437.5,0.478
445.312,0.443
453.125,0.432
460.937,0.39
468.75,0.427
476.562,0.433
484.375,0.389
492.187,0.414
500,0.481
507.812,0.446
515.625,0.424
523.437,0.397
531.25,0.371
539.062,0.382
546.875,0.404
554.687,0.418
562.5,0.426
570.312,0.43
578.125,0.463
585.937,0.438
593.75,0.42
601.562,0.415
609.375,0.462
617.187,0.387
625,0.371
632.812,0.392
640.625,0.421
648.437,0.401
656.25,0.365
664.062,0.369
671.875,0.374
679.687,0.391
687.5,0.372
695.312,0.374
703.125,0.322
710.937,0.292
718.75,0.271
726.562,0.311
734.375,0.309
742.187,0.333
750,0.317
757.812,0.285
765.625,0.302
773.437,0.326
781.25,0.316
789.062,0.311
796.875,0.303
804.687,0.315
812.5,0.34
820.312,0.332
828.125,0.314
835.937,0.281
843.75,0.277
851.562,0.342
859.375,0.347
867.187,0.319
875,0.326
882.812,0.317
890.625,0.309
898.437,0.287
906.25,0.298
914.062,0.327
921.875,0.3
929.687,0.318
937.5,0.309
945.312,0.293
953.125,0.3
960.937,0.323
968.75,0.292
976.562,0.246
984.375,0.277
992.187,0.308
1000,0.261
1007.812,0.275
1015.625,0.3
1023.437,0.253
1031.25,0.249
1039.062,0.258
1046.875,0.256
1054.687,0.233
1062.5,0.25
1070.312,0.241
1078.125,0.229
1085.937,0.213
1093.75,0.237
1101.562,0.256
1109.375,0.25
1117.187,0.247
1125,0.265
1132.812,0.262
1140.625,0.231
1148.437,0.273
1156.25,0.264
1164.062,0.231
1171.875,0.238
1179.687,0.247
1187.5,0.25
1195.312,0.238
1203.125,0.23
1210.937,0.226
1218.75,0.209
1226.562,0.191
1234.375,0.22
1242.187,0.219
1250,0.224
1257.812,0.258
1265.625,0.254
1273.437,0.229
1281.25,0.245
1289.062,0.269
1296.875,0.251
1304.687,0.226
1312.5,0.219
1320.312,0.246
1328.125,0.241
1335.937,0.211
1343.75,0.23
1351.562,0.198
1359.375,0.193
1367.187,0.213
1375,0.218
1382.812,0.212
1390.625,0.211
1398.437,0.197
1406.25,0.2
1414.062,0.203
1421.875,0.192
1429.687,0.173
1437.5,0.18
1445.312,0.224
1453.125,0.206
1460.937,0.205
1468.75,0.214
1476.562,0.194
1484.375,0.212
1492.187,0.206
1500,0.184
1507.812,0.176
1515.625,0.195
1523.437,0.192
1531.25,0.188
1539.062,0.193
1546.875,0.185
1554.687,0.171
1562.5,0.195
1570.312,0.208
1578.125,0.21
1585.937,0.219
1593.75,0.205
1601.562,0.208
1609.375,0.185
1617.187,0.166
1625,0.161
1632.812,0.163
1640.625,0.172
1648.437,0.164
1656.25,0.193
1664.062,0.221
1671.875,0.194
1679.687,0.173
1687.5,0.159
1695.312,0.182
1703.125,0.188
1710.937,0.178
1718.75,0.175
1726.562,0.175
1734.375,0.182
1742.187,0.191
1750,0.187
1757.812,0.172
1765.625,0.176
1773.437,0.171
1781.25,0.171
1789.062,0.17
1796.875,0.162
1804.687,0.162
1812.5,0.164
1820.312,0.181
1828.125,0.168
1835.937,0.176
1843.75,0.189
1851.562,0.186
1859.375,0.204
1867.187,0.187
1875,0.179
1882.812,0.177
1890.625,0.157
1898.437,0.15
1906.25,0.14
1914.062,0.159
1921.875,0.172
1929.687,0.166
1937.5,0.151
1945.312,0.149
1953.125,0.163
1960.937,0.159
1968.75,0.174
1976.562,0.168
1984.375,0.154
1992.187,0.153
2000,0.176
2007.812,0.175
2015.625,0.172
2023.437,0.177
2031.25,0.166
2039.062,0.159
2046.875,0.161
2054.687,0.169
2062.5,0.154
2070.312,0.155
2078.125,0.173
2085.937,0.149
2093.75,0.16
2101.562,0.13
2109.375,0.152
2117.187,0.15
2125,0.152
2132.812,0.15
2140.625,0.15
2148.437,0.162
2156.25,0.142
2164.062,0.139
2171.875,0.149
2179.687,0.162
2187.5,0.151
2195.312,0.135
2203.125,0.135
2210.937,0.125
2218.75,0.128
2226.562,0.129
2234.375,0.147
2242.187,0.153
2250,0.137
2257.812,0.138
2265.625,0.147
2273.437,0.155
2281.25,0.142
2289.062,0.141
2296.875,0.136
2304.687,0.144
2312.5,0.145
2320.312,0.147
2328.125,0.152
2335.937,0.14
2343.75,0.142
2351.562,0.146
2359.375,0.147
2367.187,0.144
2375,0.157
2382.812,0.141
2390.625,0.131
2398.437,0.135
2406.25,0.125
2414.062,0.141
2421.875,0.146
2429.687,0.135
2437.5,0.127
2445.312,0.132
2453.125,0.144
2460.937,0.128
2468.75,0.118
2476.562,0.138
2484.375,0.134
2492.187,0.131
2500,0.145
2507.812,0.143
2515.625,0.137
2523.437,0.138
2531.25,0.116
2539.062,0.127
2546.875,0.135
2554.687,0.141
2562.5,0.14
2570.312,0.135
2578.125,0.12
2585.937,0.128
2593.75,0.143
2601.562,0.155
2609.375,0.146
2617.187,0.143
2625,0.134
2632.812,0.13
2640.625,0.135
2648.437,0.134
2656.25,0.159
2664.062,0.154
2671.875,0.143
2679.687,0.138
2687.5,0.146
2695.312,0.147
2703.125,0.126
2710.937,0.115
2718.75,0.121
2726.562,0.129
2734.375,0.141
2742.187,0.125
2750,0.143
2757.812,0.134
2765.625,0.133
2773.437,0.136
2781.25,0.139
2789.062,0.142
2796.875,0.128
2804.687,0.108
2812.5,0.117
2820.312,0.126
2828.125,0.137
2835.937,0.14
2843.75,0.128
2851.562,0.13
2859.375,0.125
2867.187,0.117
2875,0.123
2882.812,0.132
2890.625,0.118
2898.437,0.119
2906.25,0.13
2914.062,0.135
2921.875,0.138
2929.687,0.147
2937.5,0.126
2945.312,0.14
2953.125,0.148
2960.937,0.137
2968.75,0.123
2976.562,0.129
2984.375,0.123
2992.187,0.124
3000,0.115
3007.812,0.122
3015.625,0.123
3023.437,0.129
3031.25,0.136
3039.062,0.121
3046.875,0.124
3054.687,0.124
3062.5,0.12
3070.312,0.12
3078.125,0.145
3085.937,0.142
3093.75,0.12
3101.562,0.121
3109.375,0.121
3117.187,0.115
3125,0.116
3132.812,0.117
3140.625,0.115
3148.437,0.115
3156.25,0.13
3164.062,0.141
3171.875,0.13
3179.687,0.127
3187.5,0.132
3195.312,0.124
3203.125,0.121
3210.937,0.11
3218.75,0.122
3226.562,0.115
3234.375,0.121
3242.187,0.128
3250,0.122
3257.812,0.113
3265.625,0.115
3273.437,0.112
3281.25,0.126
3289.062,0.119
3296.875,0.124
3304.687,0.126
3312.5,0.12
3320.312,0.116
3328.125,0.12
3335.937,0.109
3343.75,0.109
3351.562,0.117
3359.375,0.12
3367.187,0.128
3375,0.135
3382.812,0.116
3390.625,0.112
3398.437,0.114
3406.25,0.112
3414.062,0.11
3421.875,0.116
3429.687,0.131
3437.5,0.122
3445.312,0.12
3453.125,0.133
3460.937,0.116
3468.75,0.13
3476.562,0.122
3484.375,0.112
3492.187,0.124
3500,0.123
3507.812,0.12
3515.625,0.113
3523.437,0.115
3531.25,0.116
3539.062,0.114
3546.875,0.12
3554.687,0.122
3562.5,0.122
3570.312,0.125
3578.125,0.116
3585.937,0.092
3593.75,0.106
3601.562,0.114
3609.375,0.109
3617.187,0.111
3625,0.106
3632.812,0.101
3640.625,0.123
3648.437,0.115
3656.25,0.116
3664.062,0.123
3671.875,0.129
3679.687,0.111
3687.5,0.103
3695.312,0.114
3703.125,0.115
3710.937,0.113
3718.75,0.12
3726.562,0.114
3734.375,0.126
3742.187,0.12
3750,0.115
3757.812,0.111
3765.625,0.119
3773.437,0.112
3781.25,0.106
3789.062,0.106
3796.875,0.108
3804.687,0.117
