Data Point, Corr Factor, Length Scale, AmbPress, AmbTemp, Density, Viscosity, Motor Speed, Angle of Attack, Corrected q, Avg Velocity, Reynolds number, Axial Force,Normal Force, Pitching Mom
1,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1177,-5.069944973,0.078715748,99.37623596,65534.43359,0.098639245,-0.430448138,-1.531990901
2,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1177,-3.95023591,0.078769013,99.40985107,65556.60156,0.088816164,-0.398746266,-1.396800907
3,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1177,-2.945108457,0.078982361,99.54438782,65645.32031,0.086501643,-0.352749734,-1.215292413
4,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1186,-2.0351154,0.079154087,99.65254974,65716.64844,0.087257323,-0.302460143,-1.003950568
5,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1196,-1.019329509,0.080833531,100.7041779,66410.15625,0.082852054,-0.230507152,-0.71347942
6,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1196,-0.056712979,0.079000515,99.55583191,65652.86719,0.080136441,-0.137864532,-0.345744738
7,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1202,1.049526331,0.080179866,100.2961807,66141.10156,0.084125982,-0.042407279,0.031450314
8,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1202,1.964500603,0.081081626,100.8586044,66511.99219,0.080641601,0.0463531,0.384024585
9,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1202,3.040647911,0.079075645,99.60315704,65684.07813,0.081632104,0.140782476,0.757292704
10,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1202,3.999252174,0.080783957,100.6732941,66389.78906,0.077074396,0.220537694,1.0723302
11,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1202,4.978054244,0.079201009,99.6820755,65736.125,0.071070596,0.330082492,1.501777025
12,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1208,6.050407639,0.079169552,99.66227722,65723.0625,0.059785594,0.440812073,1.939590185
13,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1220,6.992526126,0.079479448,99.85714722,65851.57031,0.042969675,0.555415652,2.371664195
14,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1220,8.052487894,0.079513452,99.87850189,65865.65625,0.030152705,0.621537967,2.617670012
15,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1230,9.033664571,0.079448877,99.8379364,65838.90625,0.01474905,0.703093249,2.934094533
16,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1230,10.0191401,0.080121086,100.259407,66116.84375,0.004244068,0.76209294,3.154452238
17,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1230,11.01416866,0.081226477,100.9486542,66571.375,-0.010976845,0.829855136,3.408993309
18,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1230,11.97527035,0.080319191,100.3832855,66198.53906,-0.022362972,0.875787918,3.585552393
19,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1230,12.95173875,0.084069317,102.7000122,67726.32031,0.002642317,0.87223028,3.524057974
20,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1210,13.94134938,0.080711663,100.6282425,66360.07813,-2.09289E-05,0.885976132,3.564054512
21,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1210,15.02913772,0.079371063,99.78903961,65806.65625,0.056194598,0.806149601,3.243251337
22,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1210,16.06558542,0.078669143,99.34680939,65515.02734,0.072501021,0.82516374,3.273278489
23,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1210,16.96647582,0.079376779,99.79262543,65809.02344,0.135018015,0.724341923,2.785450934
24,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1245,18.08200885,0.080070553,100.2277908,66096,0.138705753,0.776487522,2.978070823
25,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1245,18.93486122,0.079586125,99.92414093,65895.75,0.145844013,0.79397014,3.036066794
26,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,1261,20.03086515,0.080565283,100.5369492,66299.875,0.178983447,0.751795481,2.828557403
