Data Point, Corr Factor, Length Scale, AmbPress, AmbTemp, Density, Viscosity, Motor Speed, Angle of Attack, Corrected q, Avg Velocity, Reynolds number, Axial Force,Normal Force, Pitching Mom
1,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-5.028989827,5.62132E-05,2.655651093,1751.289795,0.019625428,-0.17742828,-0.559681859
2,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-3.978908607,5.92661E-05,2.726810455,1798.216431,-0.003902901,-0.176196184,-0.560089498
3,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-2.942092433,4.71495E-05,2.43214941,1603.899902,-0.005717241,-0.177006652,-0.561529161
4,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-2.012010747,5.55436E-05,2.639786243,1740.827637,0.005000081,-0.178625099,-0.560392359
5,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,-1.011291328,5.05926E-05,2.51938796,1661.430054,0.006018339,-0.17703075,-0.560045353
6,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,0.092477844,6.61417E-05,2.880642653,1899.662231,0.013012153,-0.176418999,-0.560591164
7,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,0.996056733,4.44868E-05,2.362475395,1557.952759,0.023282506,-0.176801666,-0.55955419
8,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,2.044063583,6.18445E-05,2.785493374,1836.915283,0.028501197,-0.175281751,-0.559429061
9,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,3.031381485,4.32477E-05,2.329342365,1536.103027,0.036847977,-0.175493746,-0.559722657
10,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,4.018330913,6.07794E-05,2.761403322,1821.028931,0.044254724,-0.175594387,-0.560082029
11,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,4.98404535,4.29103E-05,2.320236921,1530.098267,0.052608984,-0.17563124,-0.559393278
12,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,6.009165902,5.67352E-05,2.667952776,1759.402222,0.060747133,-0.175169357,-0.557068018
13,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,7.071283923,4.19137E-05,2.293136358,1512.226685,0.070152767,-0.174959043,-0.557118179
14,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,8.053538726,3.85867E-05,2.200241566,1450.966431,0.078207409,-0.173113524,-0.555043801
15,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,8.962835777,5.93294E-05,2.728265762,1799.176147,0.086773274,-0.17226949,-0.555371867
16,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,10.0232479,6.32892E-05,2.817840576,1858.246948,0.097826227,-0.171827856,-0.553225761
17,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,11.11177319,4.12705E-05,2.275471449,1500.577393,0.107791152,-0.171426583,-0.55095586
18,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,11.97873673,4.66697E-05,2.419742584,1595.71814,0.114365706,-0.170521413,-0.546664508
19,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,13.0813186,4.72391E-05,2.434460163,1605.423706,0.122506612,-0.170408563,-0.546544965
20,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,13.92038733,4.29577E-05,2.321519375,1530.944092,0.128157744,-0.168264152,-0.542592451
21,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,15.02209578,4.7856E-05,2.450304747,1615.872559,0.13442014,-0.168638187,-0.540400467
22,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,15.98363419,6.06687E-05,2.758886814,1819.369385,0.140750361,-0.166521121,-0.538247085
23,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,16.98378042,5.26964E-05,2.57123661,1695.62207,0.148941202,-0.164986936,-0.535998493
24,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,18.10814317,5.50005E-05,2.626849175,1732.296143,0.156344232,-0.162603496,-0.531661339
25,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,18.92539009,5.13887E-05,2.539134264,1674.451904,0.160025077,-0.162731852,-0.529711992
26,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,20.00331152,4.81829E-05,2.45865941,1621.38208,0.164060657,-0.162220839,-0.52640388
27,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,20.99653865,4.64061E-05,2.412898302,1591.20459,0.167021346,-0.15897162,-0.522280758
28,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,21.99955079,5.94296E-05,2.730568171,1800.694458,0.172627212,-0.157885202,-0.519371289
29,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,22.936497,5.59443E-05,2.649291515,1747.095947,0.179883124,-0.1565631,-0.515234176
30,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,23.99972044,4.47768E-05,2.370162964,1563.022461,0.187836749,-0.154792957,-0.512515504
31,0.94,1.3125,14.5331285,531.27,0.002295562,3.8073E-07,0,25.06654674,4.20139E-05,2.295875072,1514.032715,0.19640428,-0.151782971,-0.506512375
