alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
-5,0,-0.058474,0.000585,0.053792,0.054377,0,0,-0.141654,0,0,22.86,-0.0941
-4.5,0,-0.02101,0.000441,0.05154,0.051981,0,0,-0.171894,0,0,22.86,-0.3135
-4,0,0.01646,0.000445,0.049584,0.050028,0,0,-0.202122,0,0,22.86,0.4659
-3.5,0,0.05393,0.000595,0.047632,0.048228,0,0,-0.232397,0,0,22.86,0.1623
-3,0,0.091393,0.000893,0.045825,0.046718,0,0,-0.262691,0,0,22.86,0.1076
-2.5,0,0.128843,0.001338,0.044432,0.04577,0,0,-0.292972,0,0,22.86,0.0847
-2,0,0.166273,0.00193,0.043288,0.045218,0,0,-0.323251,0,0,22.86,0.0721
-1.5,0,0.203675,0.002668,0.042336,0.045004,0,0,-0.353531,0,0,22.86,0.0642
-1,0,0.241044,0.003552,0.041929,0.045481,0,0,-0.383748,0,0,22.86,0.0587
-0.5,0,0.278373,0.004582,0.042132,0.046714,0,0,-0.413912,0,0,22.86,0.0547
0,0,0.315655,0.005756,0.042648,0.048404,0,0,-0.444075,0,0,22.86,0.0517
0.5,0,0.352883,0.007074,0.043599,0.050673,0,0,-0.474223,0,0,22.86,0.0493
1,0,0.390051,0.008535,0.044783,0.053318,0,0,-0.504377,0,0,22.86,0.0473
1.5,0,0.427152,0.010138,0.045825,0.055962,0,0,-0.534554,0,0,22.86,0.0457
2,0,0.46418,0.011881,0.04702,0.058901,0,0,-0.56473,0,0,22.86,0.0444
2.5,0,0.501129,0.013764,0.048355,0.062119,0,0,-0.594906,0,0,22.86,0.0432
3,0,0.537991,0.015785,0.049665,0.06545,0,0,-0.625075,0,0,22.86,0.0423
3.5,0,0.57476,0.017943,0.050878,0.068821,0,0,-0.655237,0,0,22.86,0.0414
4,0,0.61143,0.020236,0.052063,0.072299,0,0,-0.685365,0,0,22.86,0.0407
4.5,0,0.647995,0.022662,0.053342,0.076004,0,0,-0.715438,0,0,22.86,0.04
5,0,0.684449,0.02522,0.054437,0.079657,0,0,-0.745464,0,0,22.86,0.0394
5.5,0,0.720784,0.027908,0.05556,0.083468,0,0,-0.77542,0,0,22.86,0.0389
6,0,0.756995,0.030724,0.056624,0.087347,0,0,-0.805302,0,0,22.86,0.0384
6.5,0,0.793076,0.033665,0.057931,0.091596,0,0,-0.835089,0,0,22.86,0.038
7,0,0.82902,0.03673,0.059031,0.095762,0,0,-0.864784,0,0,22.86,0.0376
7.5,0,0.864822,0.039916,0.060089,0.100005,0,0,-0.89437,0,0,22.86,0.0373
8,0,0.900476,0.043222,0.064548,0.10777,0,0,-0.923872,0,0,22.86,0.037
8.5,0,0.935975,0.046643,0.071372,0.118016,0,0,-0.953371,0,0,22.86,0.0367
9,0,0.971315,0.050179,0.076096,0.126275,0,0,-0.982809,0,0,22.86,0.0364
