alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
-5,0,-0.154048,0.003539,0.062429,0.065968,0,0,0.091282,0,0,30.5,0.0338
-4.5,0,-0.110578,0.003559,0.05847,0.062029,0,0,0.055975,0,0,30.5,0.0209
-4,0,-0.059964,0.003481,0.054447,0.057929,0,0,0.012318,0,0,30.5,0.0072
-3.5,0,0.010245,0.003252,0.049923,0.053176,0,0,-0.053675,0,0,30.5,0.1661
0,0,0.445663,0.013095,0.035034,0.048129,0,0,-0.444551,0,0,30.5,0.036
0.5,0,0.493703,0.01553,0.035827,0.051356,0,0,-0.484535,0,0,30.5,0.0353
1,0,0.54011,0.018083,0.036727,0.05481,0,0,-0.5231,0,0,30.5,0.0348
1.5,0,0.585091,0.020896,0.037589,0.058485,0,0,-0.559705,0,0,30.5,0.0343
2,0,0.62741,0.023728,0.038486,0.062213,0,0,-0.59372,0,0,30.5,0.0339
2.5,0,0.671057,0.026847,0.039283,0.066129,0,0,-0.628808,0,0,30.5,0.0335
3,0,0.716275,0.030356,0.039966,0.070322,0,0,-0.665025,0,0,30.5,0.0332
3.5,0,0.762322,0.034091,0.040477,0.074568,0,0,-0.702103,0,0,30.5,0.0329
4,0,0.809725,0.038091,0.040852,0.078942,0,0,-0.740721,0,0,30.5,0.0326
4.5,0,0.857664,0.042397,0.040923,0.08332,0,0,-0.779496,0,0,30.5,0.0324
5,0,0.90702,0.047094,0.040791,0.087885,0,0,-0.81945,0,0,30.5,0.0322
5.5,0,0.957553,0.052186,0.040263,0.092449,0,0,-0.859976,0,0,30.5,0.0319
6,0,1.007636,0.057511,0.039513,0.097024,0,0,-0.899582,0,0,30.5,0.0317
6.5,0,1.05854,0.063293,0.038543,0.101836,0,0,-0.939575,0,0,30.5,0.0315
7,0,1.110658,0.069477,0.037313,0.10679,0,0,-0.980608,0,0,30.5,0.0313
7.5,0,1.163129,0.075887,0.035869,0.111756,0,0,-1.021992,0,0,30.5,0.0311
8,0,1.216253,0.082663,0.034339,0.117002,0,0,-1.064062,0,0,30.5,0.031
8.5,0,1.265175,0.088871,0.03296,0.121831,0,0,-1.102492,0,0,30.5,0.0308
9,0,1.311512,0.095052,0.031854,0.126907,0,0,-1.138639,0,0,30.5,0.0307
9.5,0,1.347808,0.099962,0.031642,0.131604,0,0,-1.165466,0,0,30.5,0.0305
10,0,1.375114,0.103753,0.032339,0.136091,0,0,-1.183937,0,0,30.5,0.0304
10.5,0,1.397188,0.10685,0.033751,0.140601,0,0,-1.19777,0,0,30.5,0.0302
11,0,1.416092,0.10954,0.035745,0.145284,0,0,-1.208657,0,0,30.5,0.0301
11.5,0,1.437792,0.112689,0.03802,0.150709,0,0,-1.222621,0,0,30.5,0.0299
12,0,1.460663,0.116091,0.040443,0.156534,0,0,-1.237786,0,0,30.5,0.0298
12.5,0,1.48451,0.119726,0.042997,0.162723,0,0,-1.253718,0,0,30.5,0.0297
13,0,1.507299,0.123246,0.046028,0.169274,0,0,-1.268892,0,0,30.5,0.0296
13.5,0,1.524138,0.126076,0.049605,0.175681,0,0,-1.278223,0,0,30.5,0.0294
