time (s), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), imu_pitch (rad), imu_roll (rad), imu_yaw (rad), counter, x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad)
0.0000, 0.0043, -0.0035, 0.0099, -0.0195, 0.0140, 0.1400, 118050, -0.0117, -0.0404, -0.0824, 3.1157, 0.0556, -0.0805
0.0200, 0.0013, -0.0008, -0.0153, -0.0197, 0.0138, 0.1396, 118070, -0.0117, -0.0404, -0.0824, 3.1159, 0.0554, -0.0805
0.0400, 0.0054, -0.0040, -0.0062, -0.0195, 0.0136, 0.1393, 118090, -0.0118, -0.0404, -0.0823, 3.1158, 0.0562, -0.0807
0.0600, -0.0067, 0.0065, 0.0183, -0.0195, 0.0134, 0.1389, 118110, -0.0117, -0.0404, -0.0825, 3.1160, 0.0554, -0.0798
0.0800, -0.0067, 0.0065, 0.0183, -0.0195, 0.0134, 0.1389, 118110, -0.0117, -0.0404, -0.0824, 3.1159, 0.0555, -0.0805
0.1000, 0.0075, 0.0078, 0.0054, -0.0199, 0.0131, 0.1382, 118150, -0.0118, -0.0404, -0.0824, 3.1159, 0.0562, -0.0807
0.1200, 0.0038, 0.0038, -0.0091, -0.0201, 0.0133, 0.1379, 118170, -0.0118, -0.0404, -0.0823, 3.1158, 0.0554, -0.0802
0.1400, 0.0038, 0.0038, 0.0048, -0.0202, 0.0134, 0.1381, 118190, -0.0119, -0.0404, -0.0823, 3.1156, 0.0563, -0.0805
0.1600, 0.0113, 0.0024, -0.0070, -0.0201, 0.0138, 0.1379, 118210, -0.0117, -0.0404, -0.0824, 3.1159, 0.0555, -0.0805
0.1800, -0.0048, -0.0008, -0.0032, -0.0199, 0.0134, 0.1379, 118230, -0.0118, -0.0404, -0.0822, 3.1158, 0.0562, -0.0811
0.2000, -0.0011, -0.0032, 0.0089, -0.0201, 0.0133, 0.1379, 118250, -0.0119, -0.0404, -0.0823, 3.1156, 0.0562, -0.0806
0.2200, 0.0078, -0.0167, -0.0043, -0.0204, 0.0131, 0.1379, 118270, -0.0119, -0.0404, -0.0823, 3.1157, 0.0561, -0.0804
0.2400, -0.0070, 0.0097, -0.0008, -0.0206, 0.0129, 0.1379, 118290, -0.0118, -0.0405, -0.0824, 3.1159, 0.0562, -0.0808
0.2600, 0.0199, 0.0056, 0.0024, -0.0208, 0.0127, 0.1379, 118310, -0.0116, -0.0404, -0.0823, 3.1156, 0.0553, -0.0808
0.2800, -0.0005, 0.0177, -0.0022, -0.0209, 0.0126, 0.1379, 118330, -0.0117, -0.0404, -0.0824, 3.1156, 0.0553, -0.0805
0.3000, -0.0054, 0.0016, -0.0089, -0.0209, 0.0127, 0.1379, 118350, -0.0117, -0.0404, -0.0825, 3.1163, 0.0556, -0.0801
0.3200, 0.0078, 0.0073, 0.0011, -0.0208, 0.0127, 0.1379, 118370, -0.0117, -0.0404, -0.0824, 3.1158, 0.0554, -0.0804
0.3400, 0.0113, -0.0016, -0.0105, -0.0208, 0.0131, 0.1379, 118390, -0.0117, -0.0404, -0.0824, 3.1157, 0.0555, -0.0803
0.3600, -0.0005, -0.0091, -0.0051, -0.0211, 0.0131, 0.1377, 118410, -0.0117, -0.0404, -0.0824, 3.1158, 0.0555, -0.0803
0.3800, -0.0081, 0.0234, 0.0030, -0.0213, 0.0127, 0.1375, 118430, -0.0118, -0.0404, -0.0824, 3.1159, 0.0561, -0.0808
0.4000, 0.0134, 0.0016, 0.0027, -0.0215, 0.0126, 0.1375, 118450, -0.0119, -0.0405, -0.0824, 3.1160, 0.0563, -0.0802
0.4200, 0.0073, 0.0118, 0.0062, -0.0216, 0.0126, 0.1375, 118470, -0.0119, -0.0404, -0.0823, 3.1158, 0.0560, -0.0807
0.4400, 0.0024, 0.0062, -0.0038, -0.0218, 0.0127, 0.1375, 118490, -0.0118, -0.0405, -0.0824, 3.1158, 0.0562, -0.0808
0.4600, 0.0062, 0.0075, 0.0137, -0.0220, 0.0129, 0.1374, 118510, -0.0118, -0.0404, -0.0823, 3.1160, 0.0561, -0.0808
0.4800, 0.0105, 0.0056, -0.0073, -0.0222, 0.0129, 0.1368, 118530, -0.0118, -0.0404, -0.0823, 3.1158, 0.0560, -0.0805
0.5000, -0.0089, 0.0011, 0.0051, -0.0223, 0.0126, 0.1365, 118550, -0.0119, -0.0405, -0.0823, 3.1156, 0.0563, -0.0807
0.5200, 0.0094, -0.0078, -0.0110, -0.0225, 0.0124, 0.1363, 118570, -0.0119, -0.0405, -0.0824, 3.1160, 0.0562, -0.0805
0.5400, 0.0183, 0.0142, -0.0097, -0.0229, 0.0126, 0.1363, 118590, -0.0118, -0.0404, -0.0823, 3.1156, 0.0561, -0.0811
0.5600, 0.0008, -0.0059, 0.0132, -0.0230, 0.0129, 0.1363, 118610, -0.0118, -0.0404, -0.0822, 3.1158, 0.0561, -0.0804
0.5800, 0.0081, -0.0086, -0.0005, -0.0232, 0.0129, 0.1363, 118630, -0.0119, -0.0405, -0.0824, 3.1157, 0.0561, -0.0807
0.6000, 0.0099, 0.0086, 0.0054, -0.0234, 0.0127, 0.1363, 118650, -0.0119, -0.0404, -0.0823, 3.1159, 0.0562, -0.0807
0.6200, -0.0011, 0.0067, -0.0011, -0.0236, 0.0129, 0.1363, 118670, -0.0118, -0.0404, -0.0823, 3.1159, 0.0563, -0.0808
0.6400, -0.0019, -0.0059, -0.0067, -0.0239, 0.0127, 0.1361, 118690, -0.0117, -0.0404, -0.0823, 3.1157, 0.0553, -0.0802
0.6600, 0.0191, -0.0059, -0.0094, -0.0239, 0.0126, 0.1358, 118710, -0.0117, -0.0404, -0.0823, 3.1160, 0.0561, -0.0805
0.6800, 0.0070, -0.0024, -0.0059, -0.0237, 0.0129, 0.1353, 118730, -0.0117, -0.0404, -0.0824, 3.1160, 0.0554, -0.0806
0.7000, 0.0137, 0.0097, 0.0059, -0.0236, 0.0131, 0.1351, 118750, -0.0117, -0.0404, -0.0824, 3.1158, 0.0554, -0.0804
0.7200, 0.0019, -0.0038, -0.0019, -0.0234, 0.0133, 0.1349, 118770, -0.0118, -0.0405, -0.0824, 3.1156, 0.0555, -0.0805
0.7400, -0.0054, 0.0097, -0.0024, -0.0232, 0.0134, 0.1349, 118790, -0.0117, -0.0404, -0.0824, 3.1159, 0.0553, -0.0805
0.7600, 0.0005, 0.0134, -0.0003, -0.0236, 0.0136, 0.1349, 118810, -0.0117, -0.0404, -0.0824, 3.1161, 0.0561, -0.0808
