time (s), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), imu_pitch (rad), imu_roll (rad), imu_yaw (rad), counter, x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad)
0.0000, 0.0056, 0.0099, -0.0003, -0.0145, -0.0007, 0.2606, 22150, -0.0084, -0.0374, -0.0806, -3.0997, 0.0424, -0.0572
0.0200, 0.0156, 0.0188, -0.0046, -0.0141, -0.0012, 0.2613, 22190, -0.0084, -0.0375, -0.0806, -3.0997, 0.0425, -0.0573
0.0400, -0.0043, 0.0075, 0.0121, -0.0140, -0.0014, 0.2616, 22210, -0.0085, -0.0375, -0.0806, -3.0998, 0.0426, -0.0573
0.0600, 0.0137, -0.0083, 0.0078, -0.0140, -0.0016, 0.2616, 22230, -0.0084, -0.0374, -0.0806, -3.0997, 0.0423, -0.0573
0.0800, 0.0137, -0.0083, 0.0078, -0.0140, -0.0016, 0.2616, 22230, -0.0085, -0.0375, -0.0806, -3.0996, 0.0425, -0.0573
0.1000, -0.0164, -0.0043, 0.0142, -0.0143, -0.0019, 0.2616, 22270, -0.0085, -0.0374, -0.0806, -3.0999, 0.0421, -0.0566
0.1200, 0.0108, 0.0030, 0.0030, -0.0147, -0.0019, 0.2616, 22290, -0.0084, -0.0375, -0.0807, -3.0996, 0.0428, -0.0566
0.1400, 0.0040, 0.0005, 0.0048, -0.0147, -0.0019, 0.2616, 22310, -0.0085, -0.0374, -0.0806, -3.0997, 0.0422, -0.0565
0.1600, 0.0040, 0.0005, 0.0048, -0.0147, -0.0019, 0.2616, 22310, -0.0085, -0.0374, -0.0807, -3.0998, 0.0422, -0.0564
0.1800, -0.0210, 0.0083, 0.0070, -0.0145, -0.0014, 0.2615, 22350, -0.0085, -0.0375, -0.0806, -3.0999, 0.0424, -0.0572
0.2000, 0.0094, 0.0099, 0.0032, -0.0145, -0.0014, 0.2616, 22370, -0.0084, -0.0375, -0.0807, -3.0996, 0.0425, -0.0564
0.2200, -0.0027, 0.0043, -0.0046, -0.0143, -0.0012, 0.2620, 22390, -0.0084, -0.0374, -0.0807, -3.0996, 0.0425, -0.0566
0.2400, -0.0027, 0.0043, -0.0046, -0.0143, -0.0012, 0.2620, 22390, -0.0085, -0.0375, -0.0807, -3.0998, 0.0426, -0.0565
0.2600, -0.0056, 0.0126, -0.0078, -0.0145, -0.0016, 0.2620, 22430, -0.0085, -0.0375, -0.0807, -3.0998, 0.0422, -0.0565
0.2800, -0.0078, -0.0191, 0.0134, -0.0145, -0.0019, 0.2620, 22450, -0.0084, -0.0375, -0.0807, -3.0996, 0.0424, -0.0564
0.3000, 0.0040, 0.0008, 0.0005, -0.0143, -0.0021, 0.2620, 22470, -0.0084, -0.0375, -0.0807, -3.0997, 0.0426, -0.0563
0.3200, 0.0040, 0.0008, 0.0005, -0.0143, -0.0021, 0.2620, 22470, -0.0084, -0.0375, -0.0808, -3.0997, 0.0427, -0.0564
0.3400, 0.0046, -0.0054, 0.0121, -0.0143, -0.0024, 0.2620, 22510, -0.0084, -0.0375, -0.0808, -3.0995, 0.0430, -0.0565
0.3600, -0.0089, -0.0094, -0.0145, -0.0141, -0.0026, 0.2620, 22530, -0.0084, -0.0374, -0.0807, -3.0996, 0.0426, -0.0563
0.3800, -0.0048, 0.0059, 0.0019, -0.0140, -0.0028, 0.2618, 22550, -0.0084, -0.0375, -0.0807, -3.0998, 0.0428, -0.0567
0.4000, -0.0048, 0.0059, 0.0019, -0.0140, -0.0028, 0.2618, 22550, -0.0085, -0.0374, -0.0807, -3.0997, 0.0429, -0.0565
0.4200, 0.0062, 0.0011, 0.0030, -0.0136, -0.0031, 0.2611, 22590, -0.0084, -0.0375, -0.0807, -3.0995, 0.0428, -0.0567
0.4400, -0.0075, -0.0151, 0.0177, -0.0133, -0.0033, 0.2609, 22610, -0.0085, -0.0375, -0.0808, -3.0994, 0.0430, -0.0561
0.4600, 0.0016, 0.0035, -0.0008, -0.0134, -0.0037, 0.2606, 22630, -0.0086, -0.0375, -0.0808, -3.0994, 0.0430, -0.0560
0.4800, 0.0016, 0.0035, -0.0008, -0.0134, -0.0037, 0.2606, 22630, -0.0085, -0.0376, -0.0808, -3.0994, 0.0428, -0.0561
0.5000, -0.0097, 0.0005, 0.0043, -0.0138, -0.0033, 0.2597, 22670, -0.0084, -0.0375, -0.0808, -3.0993, 0.0429, -0.0561
0.5200, 0.0078, 0.0000, 0.0016, -0.0141, -0.0035, 0.2594, 22690, -0.0085, -0.0375, -0.0808, -3.0994, 0.0428, -0.0560
0.5400, -0.0078, -0.0022, -0.0156, -0.0143, -0.0038, 0.2590, 22710, -0.0085, -0.0376, -0.0809, -3.0994, 0.0431, -0.0560
0.5600, -0.0078, -0.0022, -0.0156, -0.0143, -0.0038, 0.2590, 22710, -0.0085, -0.0375, -0.0808, -3.0993, 0.0429, -0.0561
0.5800, 0.0108, 0.0062, -0.0019, -0.0143, -0.0038, 0.2588, 22750, -0.0085, -0.0374, -0.0808, -3.0995, 0.0426, -0.0559
0.6000, 0.0040, -0.0089, -0.0073, -0.0145, -0.0037, 0.2590, 22770, -0.0085, -0.0375, -0.0808, -3.0994, 0.0428, -0.0560
0.6200, -0.0027, 0.0116, 0.0043, -0.0145, -0.0035, 0.2590, 22790, -0.0085, -0.0376, -0.0809, -3.0995, 0.0431, -0.0558
0.6400, -0.0027, 0.0116, 0.0043, -0.0145, -0.0035, 0.2590, 22790, -0.0085, -0.0375, -0.0809, -3.0992, 0.0428, -0.0559
0.6600, 0.0124, 0.0019, -0.0027, -0.0141, -0.0037, 0.2583, 22830, -0.0085, -0.0375, -0.0808, -3.0994, 0.0429, -0.0556
0.6800, -0.0008, 0.0124, 0.0005, -0.0140, -0.0038, 0.2580, 22850, -0.0085, -0.0375, -0.0809, -3.0994, 0.0429, -0.0559
0.7000, -0.0019, -0.0113, 0.0156, -0.0136, -0.0040, 0.2576, 22870, -0.0085, -0.0375, -0.0808, -3.0993, 0.0429, -0.0558
0.7200, -0.0019, -0.0113, 0.0156, -0.0136, -0.0040, 0.2576, 22870, -0.0085, -0.0375, -0.0808, -3.0993, 0.0429, -0.0558
0.7400, -0.0038, -0.0024, -0.0102, -0.0133, -0.0045, 0.2571, 22910, -0.0085, -0.0375, -0.0808, -3.0994, 0.0428, -0.0558
0.7600, 0.0046, 0.0089, -0.0067, -0.0134, -0.0045, 0.2567, 22930, -0.0085, -0.0375, -0.0809, -3.0993, 0.0429, -0.0558
0.7800, -0.0110, -0.0003, -0.0008, -0.0136, -0.0042, 0.2564, 22950, -0.0085, -0.0375, -0.0808, -3.0993, 0.0427, -0.0558
0.8000, -0.0110, -0.0003, -0.0008, -0.0136, -0.0042, 0.2564, 22950, -0.0085, -0.0375, -0.0808, -3.0994, 0.0427, -0.0559
0.8200, -0.0040, 0.0003, 0.0013, -0.0134, -0.0038, 0.2557, 22990, -0.0085, -0.0376, -0.0808, -3.0994, 0.0427, -0.0560
0.8400, 0.0089, 0.0040, -0.0022, -0.0138, -0.0038, 0.2553, 23010, -0.0085, -0.0375, -0.0809, -3.0993, 0.0428, -0.0559
0.8600, -0.0016, -0.0134, -0.0065, -0.0138, -0.0037, 0.2550, 23030, -0.0085, -0.0375, -0.0808, -3.0993, 0.0430, -0.0556
0.8800, -0.0016, -0.0134, -0.0065, -0.0138, -0.0037, 0.2550, 23030, -0.0085, -0.0375, -0.0808, -3.0994, 0.0430, -0.0555
0.9000, 0.0097, 0.0038, 0.0164, -0.0138, -0.0033, 0.2543, 23070, -0.0085, -0.0375, -0.0809, -3.0993, 0.0430, -0.0557
0.9200, -0.0035, 0.0022, -0.0175, -0.0141, -0.0033, 0.2538, 23090, -0.0085, -0.0375, -0.0809, -3.0994, 0.0432, -0.0554
0.9400, -0.0011, -0.0040, 0.0065, -0.0143, -0.0037, 0.2534, 23110, -0.0085, -0.0374, -0.0809, -3.0995, 0.0429, -0.0551
0.9600, -0.0011, -0.0040, 0.0065, -0.0143, -0.0037, 0.2534, 23110, -0.0084, -0.0375, -0.0809, -3.0996, 0.0432, -0.0551
0.9800, 0.0000, -0.0059, -0.0046, -0.0141, -0.0031, 0.2527, 23150, -0.0085, -0.0375, -0.0809, -3.0994, 0.0431, -0.0557
1.0000, 0.0108, 0.0027, 0.0030, -0.0143, -0.0030, 0.2524, 23170, -0.0085, -0.0375, -0.0809, -3.0994, 0.0430, -0.0556
1.0200, 0.0108, 0.0005, 0.0011, -0.0145, -0.0028, 0.2520, 23190, -0.0085, -0.0375, -0.0809, -3.0993, 0.0431, -0.0557
1.0400, 0.0108, 0.0005, 0.0011, -0.0145, -0.0028, 0.2520, 23190, -0.0085, -0.0375, -0.0809, -3.0993, 0.0431, -0.0556
1.0600, 0.0013, 0.0013, 0.0000, -0.0148, -0.0028, 0.2520, 23230, -0.0085, -0.0375, -0.0809, -3.0993, 0.0431, -0.0558
1.0800, 0.0040, 0.0000, 0.0040, -0.0150, -0.0028, 0.2520, 23250, -0.0085, -0.0375, -0.0808, -3.0994, 0.0430, -0.0556
1.1000, -0.0094, 0.0137, 0.0105, -0.0152, -0.0024, 0.2520, 23270, -0.0085, -0.0375, -0.0810, -3.0994, 0.0433, -0.0556
1.1200, -0.0094, 0.0137, 0.0105, -0.0152, -0.0024, 0.2520, 23270, -0.0085, -0.0375, -0.0809, -3.0992, 0.0432, -0.0557
1.1400, 0.0000, -0.0089, 0.0083, -0.0157, -0.0021, 0.2520, 23310, -0.0085, -0.0375, -0.0809, -3.0992, 0.0431, -0.0557
1.1600, -0.0056, 0.0003, -0.0140, -0.0155, -0.0023, 0.2520, 23330, -0.0085, -0.0375, -0.0809, -3.0993, 0.0429, -0.0556
1.1800, -0.0056, 0.0003, -0.0140, -0.0155, -0.0023, 0.2520, 23330, -0.0086, -0.0375, -0.0808, -3.0992, 0.0431, -0.0557
1.2000, -0.0056, 0.0003, -0.0140, -0.0155, -0.0023, 0.2520, 23330, -0.0084, -0.0375, -0.0809, -3.0995, 0.0429, -0.0557
1.2200, -0.0046, -0.0035, 0.0035, -0.0150, -0.0028, 0.2520, 23390, -0.0085, -0.0375, -0.0807, -3.0992, 0.0430, -0.0556
1.2400, -0.0032, -0.0065, -0.0099, -0.0148, -0.0030, 0.2520, 23410, -0.0085, -0.0373, -0.0807, -3.0994, 0.0431, -0.0552
1.2600, 0.0051, -0.0059, -0.0019, -0.0147, -0.0030, 0.2520, 23430, -0.0085, -0.0375, -0.0808, -3.0996, 0.0430, -0.0556
1.2800, 0.0051, -0.0059, -0.0019, -0.0147, -0.0030, 0.2520, 23430, -0.0085, -0.0374, -0.0807, -3.0994, 0.0430, -0.0555
1.3000, 0.0005, 0.0204, 0.0231, -0.0145, -0.0031, 0.2520, 23470, -0.0085, -0.0374, -0.0808, -3.0994, 0.0430, -0.0554
1.3200, 0.0070, 0.0027, -0.0113, -0.0147, -0.0033, 0.2522, 23490, -0.0085, -0.0374, -0.0808, -3.0994, 0.0430, -0.0553
1.3400, 0.0013, -0.0024, 0.0075, -0.0148, -0.0033, 0.2522, 23510, -0.0085, -0.0375, -0.0808, -3.0993, 0.0432, -0.0555
1.3600, 0.0013, -0.0024, 0.0075, -0.0148, -0.0033, 0.2522, 23510, -0.0085, -0.0375, -0.0809, -3.0994, 0.0429, -0.0556
1.3800, 0.0030, 0.0073, 0.0105, -0.0154, -0.0030, 0.2524, 23550, -0.0085, -0.0375, -0.0808, -3.0994, 0.0431, -0.0556
1.4000, -0.0110, 0.0081, 0.0124, -0.0155, -0.0028, 0.2524, 23570, -0.0085, -0.0375, -0.0809, -3.0994, 0.0430, -0.0558
1.4200, 0.0000, -0.0073, 0.0059, -0.0157, -0.0026, 0.2524, 23590, -0.0085, -0.0376, -0.0809, -3.0993, 0.0429, -0.0560
1.4400, 0.0000, -0.0073, 0.0059, -0.0157, -0.0026, 0.2524, 23590, -0.0085, -0.0375, -0.0809, -3.0995, 0.0428, -0.0558
1.4600, 0.0013, 0.0043, 0.0118, -0.0161, -0.0023, 0.2525, 23630, -0.0085, -0.0375, -0.0808, -3.0993, 0.0430, -0.0559
1.4800, -0.0005, -0.0078, 0.0022, -0.0164, -0.0021, 0.2529, 23650, -0.0084, -0.0375, -0.0809, -3.0994, 0.0431, -0.0558
1.5000, 0.0075, -0.0008, -0.0070, -0.0166, -0.0017, 0.2532, 23670, -0.0085, -0.0376, -0.0809, -3.0994, 0.0431, -0.0560
1.5200, 0.0075, -0.0008, -0.0070, -0.0166, -0.0017, 0.2532, 23670, -0.0085, -0.0375, -0.0809, -3.0994, 0.0429, -0.0560
1.5400, -0.0035, 0.0005, -0.0078, -0.0162, -0.0021, 0.2532, 23710, -0.0085, -0.0374, -0.0808, -3.0996, 0.0429, -0.0557
1.5600, -0.0099, 0.0051, -0.0134, -0.0164, -0.0023, 0.2534, 23730, -0.0085, -0.0375, -0.0808, -3.0996, 0.0428, -0.0561
1.5800, 0.0022, -0.0008, 0.0000, -0.0164, -0.0019, 0.2534, 23750, -0.0085, -0.0375, -0.0808, -3.0996, 0.0429, -0.0561
1.6000, 0.0022, -0.0008, 0.0000, -0.0164, -0.0019, 0.2534, 23750, -0.0085, -0.0374, -0.0808, -3.0996, 0.0428, -0.0559
1.6200, -0.0035, 0.0167, -0.0027, -0.0164, -0.0016, 0.2536, 23790, -0.0085, -0.0374, -0.0808, -3.0997, 0.0426, -0.0559
1.6400, -0.0032, 0.0043, 0.0013, -0.0162, -0.0017, 0.2539, 23810, -0.0085, -0.0375, -0.0809, -3.0995, 0.0431, -0.0560
1.6600, -0.0094, -0.0038, 0.0005, -0.0159, -0.0019, 0.2543, 23830, -0.0085, -0.0375, -0.0808, -3.0996, 0.0427, -0.0558
1.6800, -0.0094, -0.0038, 0.0005, -0.0159, -0.0019, 0.2543, 23830, -0.0084, -0.0374, -0.0809, -3.0994, 0.0428, -0.0559
1.7000, -0.0032, 0.0059, -0.0102, -0.0157, -0.0017, 0.2550, 23870, -0.0085, -0.0375, -0.0808, -3.0995, 0.0429, -0.0559
1.7200, 0.0043, 0.0056, 0.0113, -0.0155, -0.0016, 0.2553, 23890, -0.0085, -0.0375, -0.0809, -3.0997, 0.0428, -0.0559
1.7400, -0.0008, 0.0099, -0.0121, -0.0154, -0.0017, 0.2557, 23910, -0.0085, -0.0375, -0.0808, -3.0995, 0.0428, -0.0561
1.7600, -0.0008, 0.0099, -0.0121, -0.0154, -0.0017, 0.2557, 23910, -0.0085, -0.0374, -0.0808, -3.0996, 0.0427, -0.0558
1.7800, -0.0056, -0.0046, 0.0048, -0.0150, -0.0017, 0.2564, 23950, -0.0085, -0.0375, -0.0809, -3.0995, 0.0432, -0.0558
1.8000, -0.0019, 0.0011, -0.0094, -0.0148, -0.0019, 0.2567, 23970, -0.0086, -0.0376, -0.0808, -3.0993, 0.0430, -0.0559
1.8200, 0.0134, 0.0121, 0.0032, -0.0148, -0.0021, 0.2567, 23990, -0.0085, -0.0375, -0.0808, -3.0994, 0.0429, -0.0555
1.8400, 0.0134, 0.0121, 0.0032, -0.0148, -0.0021, 0.2567, 23990, -0.0085, -0.0375, -0.0809, -3.0993, 0.0430, -0.0558
1.8600, -0.0030, -0.0030, 0.0011, -0.0150, -0.0024, 0.2567, 24030, -0.0085, -0.0375, -0.0808, -3.0997, 0.0428, -0.0558
1.8800, 0.0016, -0.0035, 0.0263, -0.0148, -0.0023, 0.2567, 24050, -0.0085, -0.0375, -0.0809, -3.0993, 0.0432, -0.0559
1.9000, -0.0040, -0.0035, 0.0016, -0.0147, -0.0024, 0.2569, 24070, -0.0085, -0.0375, -0.0809, -3.0994, 0.0429, -0.0557
1.9200, -0.0040, -0.0035, 0.0016, -0.0147, -0.0024, 0.2569, 24070, -0.0085, -0.0375, -0.0809, -3.0995, 0.0430, -0.0559
1.9400, 0.0046, 0.0059, 0.0030, -0.0143, -0.0030, 0.2569, 24110, -0.0086, -0.0376, -0.0809, -3.0994, 0.0430, -0.0560
1.9600, -0.0030, -0.0035, 0.0038, -0.0141, -0.0031, 0.2569, 24130, -0.0085, -0.0375, -0.0809, -3.0994, 0.0429, -0.0558
1.9800, -0.0030, -0.0005, 0.0075, -0.0140, -0.0033, 0.2569, 24150, -0.0085, -0.0375, -0.0808, -3.0994, 0.0429, -0.0558
2.0000, -0.0030, -0.0005, 0.0075, -0.0140, -0.0033, 0.2569, 24150, -0.0085, -0.0376, -0.0808, -3.0994, 0.0430, -0.0561
2.0200, -0.0081, 0.0016, -0.0027, -0.0134, -0.0031, 0.2569, 24190, -0.0085, -0.0375, -0.0808, -3.0994, 0.0431, -0.0560
2.0400, 0.0062, 0.0008, -0.0048, -0.0133, -0.0033, 0.2569, 24210, -0.0085, -0.0375, -0.0809, -3.0993, 0.0428, -0.0560
2.0600, 0.0062, 0.0008, -0.0048, -0.0133, -0.0033, 0.2569, 24210, -0.0085, -0.0375, -0.0808, -3.0994, 0.0430, -0.0557
2.0800, -0.0145, -0.0030, 0.0000, -0.0131, -0.0035, 0.2569, 24230, -0.0085, -0.0376, -0.0809, -3.0995, 0.0432, -0.0560
2.1000, -0.0086, -0.0024, 0.0059, -0.0127, -0.0038, 0.2567, 24270, -0.0086, -0.0376, -0.0809, -3.0993, 0.0430, -0.0559
2.1200, 0.0086, -0.0067, 0.0075, -0.0124, -0.0040, 0.2562, 24290, -0.0085, -0.0375, -0.0808, -3.0993, 0.0431, -0.0558
2.1400, 0.0086, -0.0067, 0.0075, -0.0124, -0.0040, 0.2562, 24290, -0.0085, -0.0375, -0.0809, -3.0994, 0.0429, -0.0559
2.1600, -0.0083, 0.0022, 0.0059, -0.0122, -0.0038, 0.2560, 24310, -0.0085, -0.0376, -0.0809, -3.0994, 0.0432, -0.0560
2.1800, -0.0054, -0.0043, 0.0298, -0.0122, -0.0035, 0.2560, 24350, -0.0085, -0.0376, -0.0809, -3.0993, 0.0430, -0.0559
2.2000, 0.0075, -0.0083, 0.0035, -0.0122, -0.0033, 0.2560, 24370, -0.0085, -0.0375, -0.0809, -3.0994, 0.0429, -0.0558
2.2200, 0.0094, 0.0048, 0.0156, -0.0120, -0.0031, 0.2560, 24390, -0.0086, -0.0376, -0.0808, -3.0994, 0.0431, -0.0560
2.2400, 0.0094, 0.0048, 0.0156, -0.0120, -0.0031, 0.2560, 24390, -0.0085, -0.0376, -0.0809, -3.0994, 0.0429, -0.0560
