time,pitch_desired,ang_pitch,angvel_pitch,u2
0,0,0,0,0
0.02,0.09766029,0,0,0.244150726
0.04,0.189184225,0.012207536,1.220753629,0.228809838
0.06,0.26882102,0.048063101,2.364802818,0.138054305
0.08,0.331566801,0.102261872,3.055074341,0.038624312
0.1,0.373479021,0.165294575,3.248195901,-0.047973168
0.12,0.39192418,0.227859834,3.00833006,-0.116296897
0.14,0.385743301,0.282211591,2.426845575,-0.165868699
0.16,0.355324753,0.322455067,1.597502079,-0.197388651
0.18,0.302579843,0.344535676,0.610558826,-0.211737378
0.2,0.230822729,0.346159984,-0.448128065,-0.209920726
0.22,0.144562174,0.326701386,-1.497731697,-0.193244984
0.24,0.049218246,0.287084503,-2.463956619,-0.163473235
0.26,-0.049218246,0.229631709,-3.281322795,-0.122893398
0.28,-0.144562174,0.157860583,-3.895789784,-0.07429368
0.3,-0.230822729,0.076230104,-4.267258186,-0.020861898
0.32,-0.302579843,-0.010158155,-4.371567678,0.033970124
0.34,-0.355324753,-0.095891002,-4.201717057,0.08671611
0.36,-0.385743301,-0.175589538,-3.768136509,0.134039481
0.38,-0.39192418,-0.244250294,-3.097939104,0.172954629
0.4,-0.373479021,-0.297561345,-2.233165957,0.201009853
0.42,-0.331566801,-0.332174171,-1.228116692,0.216438847
0.44,-0.26882102,-0.345914563,-0.145922457,0.218270287
0.46,-0.189184225,-0.337919498,0.94542898,0.206388109
0.48,-0.09766029,-0.308691513,1.977369525,0.181538389
0.5,6.0139E-16,-0.260067203,2.885061469,0.14528225
0.52,0.09766029,-0.195101861,3.611472716,0.099897652
0.54,0.189184225,-0.117877524,4.110960978,0.048236202
0.56,0.26882102,-0.033246494,4.352141988,-0.006456063
0.58,0.331566801,0.053473542,4.319861674,-0.060742647
0.6,0.373479021,0.136833644,4.016148441,-0.111212535
0.62,0.39192418,0.211595986,3.460085767,-0.154694524
0.64,0.385743301,0.273062975,2.686613147,-0.188456484
0.66,0.355324753,0.317372414,1.744330725,-0.210377029
0.68,0.302579843,0.341740177,0.692445579,-0.219078811
0.7,0.230822729,0.344635148,-0.402948474,-0.214015064
0.72,0.144562174,0.325875425,-1.473023794,-0.195503964
0.74,0.049218246,0.286639751,-2.450543614,-0.16470863
0.76,-0.049218246,0.229393447,-3.274086766,-0.123564048
0.78,-0.144562174,0.157733509,-3.891907006,-0.074655482
0.8,-0.230822729,0.076162595,-4.265184415,-0.021056037
0.82,-0.302579843,-0.010193895,-4.370464601,0.033866436
0.84,-0.355324753,-0.095909865,-4.201132423,0.086660956
0.86,-0.385743301,-0.175599466,-3.767827645,0.134010249
0.88,-0.39192418,-0.244255506,-3.097776398,0.172939186
0.9,-0.373479021,-0.297564075,-2.233080467,0.201001718
0.92,-0.331566801,-0.332175598,-1.228071878,0.216434572
0.94,-0.26882102,-0.345915307,-0.145899016,0.218268047
0.96,-0.189184225,-0.337919885,0.945441217,0.206386937
0.98,-0.09766029,-0.308691714,1.977375902,0.181537777
1,1.90035E-15,-0.260067307,2.885064786,0.145281931
