time,pitch_desired,ang_pitch,angvel_pitch,u2
0,0,0,0,0
0.02,0.024657779,0,0,0.061644448
0.04,0.049218246,0.003082222,0.308222242,0.061401166
0.06,0.07358447,0.012316726,0.615228072,0.045504449
0.08,0.09766029,0.026896509,0.842750317,0.029428147
0.1,0.12135069,0.045222923,0.989891051,0.017088483
0.12,0.144562174,0.065875168,1.075333466,0.008534157
0.14,0.167203137,0.087808545,1.118004252,0.002835734
0.16,0.189184225,0.110310417,1.132182923,-0.000947491
0.18,0.21041869,0.132906701,1.127445468,-0.003522984
0.2,0.230822729,0.155279461,1.109830549,-0.005362177
0.22,0.250315815,0.177207963,1.083019662,-0.006758811
0.24,0.26882102,0.198530416,1.049225608,-0.007887972
0.26,0.286265311,0.21912053,1.009785748,-0.008850554
0.28,0.302579843,0.238873717,0.96553298,-0.009702957
0.3,0.317700231,0.257699229,0.917018196,-0.010475679
0.32,0.331566801,0.275515809,0.8646398,-0.011184484
0.34,0.344124829,0.29224938,0.808717379,-0.011836921
0.36,0.355324753,0.307831882,0.749532773,-0.012436059
0.38,0.365122372,0.322200735,0.687352479,-0.01298259
0.4,0.373479021,0.335298655,0.622439531,-0.013476003
0.42,0.380361718,0.347073645,0.555059516,-0.013915233
0.44,0.385743301,0.357479074,0.48548335,-0.014299017
0.46,0.389602532,0.36647379,0.413988263,-0.01462609
0.48,0.39192418,0.374022251,0.340857811,-0.014895294
0.5,0.392699082,0.380094642,0.266381341,-0.015105636
0.52,0.39192418,0.384666987,0.190853162,-0.015256322
0.54,0.389602532,0.387721234,0.114571553,-0.015346777
0.56,0.385743301,0.389245327,0.037837667,-0.015376655
0.58,0.380361718,0.389233247,-0.039045606,-0.015345842
0.6,0.373479021,0.387685043,-0.115774816,-0.015254463
0.62,0.365122372,0.384606823,-0.192047131,-0.01510288
0.64,0.355324753,0.380010737,-0.267561532,-0.014891692
0.66,0.344124829,0.373914922,-0.342019994,-0.014621734
0.68,0.331566801,0.366343435,-0.415128662,-0.014294069
0.7,0.317700231,0.357326158,-0.486599008,-0.013909992
0.72,0.302579843,0.346898679,-0.55614897,-0.013471019
0.74,0.286265311,0.335102148,-0.623504067,-0.012978882
0.76,0.26882102,0.321983123,-0.688398478,-0.012435523
0.78,0.250315815,0.307593377,-0.750576095,-0.011843087
0.8,0.230822729,0.291989701,-0.809791531,-0.011203912
0.82,0.21041869,0.275233674,-0.86581109,-0.01052052
0.84,0.189184225,0.257391427,-0.918413688,-0.009795608
0.86,0.167203137,0.238533373,-0.967391727,-0.009032037
0.88,0.144562174,0.218733936,-1.012551913,-0.008232821
0.9,0.12135069,0.198071257,-1.053716019,-0.007401114
0.92,0.09766029,0.176626881,-1.090721589,-0.006540198
0.94,0.07358447,0.154485439,-1.123422579,-0.005653471
0.96,0.049218246,0.131734314,-1.151689934,-0.004744432
0.98,0.024657779,0.108463294,-1.175412095,-0.003816669
1,-4.75089E-16,0.084764218,-1.194495441,-0.002873844
1.02,-0.024657779,0.060730617,-1.208864659,-0.001919676
1.04,-0.049218246,0.03645734,-1.218463041,-0.000957933
1.06,-0.07358447,0.012040183,-1.223252706,7.59095E-06
1.08,-0.09766029,-0.012424492,-1.223214751,0.000973085
1.1,-0.12135069,-0.036840132,-1.218349326,0.001934739
1.12,-0.144562174,-0.061110382,-1.208675634,0.002888757
1.14,-0.167203137,-0.085139457,-1.19423185,0.003831374
1.16,-0.189184225,-0.108832525,-1.17507498,0.004758871
1.18,-0.21041869,-0.132096081,-1.151280625,0.005667587
1.2,-0.230822729,-0.154838314,-1.122942691,0.006553935
1.22,-0.250315815,-0.176969472,-1.090173016,0.007414418
1.24,-0.26882102,-0.198402211,-1.053100926,0.00824564
1.26,-0.286265311,-0.219051947,-1.011872728,0.00904432
1.28,-0.302579843,-0.238837186,-0.96665113,0.009807306
1.3,-0.317700231,-0.257679843,-0.917614602,0.010531587
1.32,-0.331566801,-0.275505556,-0.864956668,0.011214305
1.34,-0.344124829,-0.292243974,-0.808885145,0.011852765
1.36,-0.355324753,-0.307829039,-0.749621323,0.012444447
1.38,-0.365122372,-0.322199243,-0.687399087,0.012987017
1.4,-0.373479021,-0.335297874,-0.622464001,0.013478333
1.42,-0.380361718,-0.347073237,-0.555072335,0.013916457
1.44,-0.385743301,-0.357478861,-0.485490051,0.014299658
1.46,-0.389602532,-0.366473679,-0.41399176,0.014626425
1.48,-0.39192418,-0.374022193,-0.340859632,0.014895469
1.5,-0.392699082,-0.380094612,-0.266382288,0.015105727
1.52,-0.39192418,-0.384666972,-0.190853654,0.015256369
1.54,-0.389602532,-0.387721226,-0.114571808,0.015346802
1.56,-0.385743301,-0.389245322,-0.037837799,0.015376667
1.58,-0.380361718,-0.389233245,0.039045538,0.015345848
1.6,-0.373479021,-0.387685042,0.11577478,0.015254466
1.62,-0.365122372,-0.384606823,0.192047113,0.015102882
1.64,-0.355324753,-0.380010737,0.267561522,0.014891693
1.66,-0.344124829,-0.373914921,0.342019989,0.014621734
1.68,-0.331566801,-0.366343435,0.415128659,0.014294069
1.7,-0.317700231,-0.357326158,0.486599006,0.013909993
1.72,-0.302579843,-0.346898678,0.556148969,0.013471019
1.74,-0.286265311,-0.335102148,0.623504066,0.012978882
1.76,-0.26882102,-0.321983123,0.688398478,0.012435523
1.78,-0.250315815,-0.307593377,0.750576095,0.011843087
1.8,-0.230822729,-0.291989701,0.809791531,0.011203912
1.82,-0.21041869,-0.275233674,0.86581109,0.01052052
1.84,-0.189184225,-0.257391427,0.918413688,0.009795608
1.86,-0.167203137,-0.238533373,0.967391727,0.009032037
1.88,-0.144562174,-0.218733936,1.012551913,0.008232821
1.9,-0.12135069,-0.198071257,1.053716019,0.007401114
1.92,-0.09766029,-0.176626881,1.090721589,0.006540198
1.94,-0.07358447,-0.154485439,1.123422579,0.005653471
1.96,-0.049218246,-0.131734314,1.151689934,0.004744432
1.98,-0.024657779,-0.108463294,1.175412095,0.003816669
2,1.64775E-15,-0.084764218,1.194495441,0.002873844
2.02,0.024657779,-0.060730617,1.208864659,0.001919676
2.04,0.049218246,-0.03645734,1.218463041,0.000957933
