time (s), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), imu_pitch (rad), imu_roll (rad), imu_yaw (rad), counter, x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), angle_pitch_desired (rad), mu1, mu2
0.0000, 0.5075, -0.9913, 0.0516, 0.1286, -0.0201, 0.9147, 73563, 0.0443, -0.3128, -0.1036, -0.0339, -0.0980, 0.1107, 0.0705, 200, 195
0.0150, 0.0306, -1.4245, 0.0825, 0.1079, -0.0197, 0.9156, 73583, 0.0444, -0.3127, -0.1036, -0.0340, -0.0978, 0.1108, 0.0696, 200, 188
0.0310, 0.0306, -1.4245, 0.0825, 0.1079, -0.0197, 0.9156, 73583, 0.0444, -0.3128, -0.1036, -0.0338, -0.0980, 0.1106, 0.0696, 200, 188
0.0620, -0.2131, -1.5460, 0.1121, 0.0600, -0.0206, 0.9166, 73623, 0.0444, -0.3128, -0.1037, -0.0339, -0.0979, 0.1109, 0.0676, 200, 176
0.0780, 0.1693, -1.3923, 0.0314, 0.0332, -0.0202, 0.9177, 73643, 0.0444, -0.3127, -0.1036, -0.0339, -0.0978, 0.1108, 0.0666, 200, 164
0.0930, 0.1693, -1.3923, 0.0314, 0.0332, -0.0202, 0.9177, 73643, 0.0443, -0.3128, -0.1036, -0.0338, -0.0980, 0.1107, 0.0666, 200, 164
0.1090, 0.3725, -1.3544, 0.3096, -0.0159, -0.0208, 0.9182, 73683, 0.0444, -0.3128, -0.1036, -0.0339, -0.0979, 0.1107, 0.0647, 200, 153
0.1400, 0.4263, -0.0863, -0.0884, -0.0405, -0.0209, 0.9191, 73723, 0.0444, -0.3128, -0.1036, -0.0339, -0.0978, 0.1106, 0.0627, 200, 169
0.1560, 0.4263, -0.0863, -0.0884, -0.0405, -0.0209, 0.9191, 73723, 0.0444, -0.3128, -0.1036, -0.0339, -0.0979, 0.1107, 0.0627, 200, 169
0.1720, -0.0511, -0.0317, -0.0400, -0.0424, -0.0204, 0.9193, 73743, 0.0444, -0.3128, -0.1036, -0.0339, -0.0979, 0.1107, 0.0618, 200, 172
0.2030, -0.1906, 0.3118, -0.2096, -0.0424, -0.0201, 0.9200, 73783, 0.0444, -0.3128, -0.1036, -0.0338, -0.0979, 0.1108, 0.0598, 200, 175
0.2180, -0.1906, 0.3118, -0.2096, -0.0424, -0.0201, 0.9200, 73783, 0.0444, -0.3128, -0.1036, -0.0339, -0.0979, 0.1108, 0.0598, 200, 175
0.2340, 0.1167, -0.0161, 0.2193, -0.0421, -0.0211, 0.9200, 73803, 0.0444, -0.3128, -0.1036, -0.0338, -0.0979, 0.1107, 0.0588, 200, 177
0.2500, 0.1167, -0.0161, 0.2193, -0.0421, -0.0211, 0.9200, 73803, 0.0444, -0.3128, -0.1036, -0.0339, -0.0979, 0.1108, 0.0588, 200, 177
0.2810, -0.3612, 0.2123, -0.2067, -0.0461, -0.0222, 0.9208, 73843, 0.0444, -0.3127, -0.1036, -0.0339, -0.0979, 0.1107, 0.0569, 200, 177
0.2970, 0.3715, -0.4268, 0.1134, -0.0501, -0.0218, 0.9217, 73863, 0.0444, -0.3128, -0.1036, -0.0339, -0.0979, 0.1108, 0.0559, 200, 162
0.3120, 0.3715, -0.4268, 0.1134, -0.0501, -0.0218, 0.9217, 73863, 0.0444, -0.3128, -0.1036, -0.0339, -0.0979, 0.1108, 0.0559, 200, 162
0.3430, -0.4427, -0.2392, 0.0234, -0.0548, -0.0209, 0.9221, 73883, 0.0444, -0.3128, -0.1036, -0.0338, -0.0980, 0.1107, 0.0549, 200, 160
0.3590, 0.0228, -0.3870, 0.0747, -0.0641, -0.0188, 0.9222, 73923, 0.0444, -0.3128, -0.1036, -0.0339, -0.0979, 0.1107, 0.0530, 200, 160
0.3750, 0.0228, -0.3870, 0.0747, -0.0641, -0.0188, 0.9222, 73923, 0.0443, -0.3127, -0.1036, -0.0339, -0.0978, 0.1109, 0.0530, 200, 160
0.3900, 0.1290, -0.5295, 0.0349, -0.0700, -0.0175, 0.9235, 73943, 0.0444, -0.3128, -0.1036, -0.0338, -0.0979, 0.1107, 0.0520, 200, 149
0.4210, 0.4435, -0.2462, 0.1161, -0.0726, -0.0173, 0.9233, 73983, 0.0444, -0.3128, -0.1036, -0.0339, -0.0980, 0.1107, 0.0501, 200, 170
0.4370, 0.4435, -0.2462, 0.1161, -0.0726, -0.0173, 0.9233, 73983, 0.0444, -0.3127, -0.1036, -0.0339, -0.0979, 0.1107, 0.0501, 200, 170
0.4530, 0.2199, -0.1626, -0.0492, -0.0766, -0.0168, 0.9235, 74023, 0.0444, -0.3128, -0.1036, -0.0339, -0.0979, 0.1107, 0.0481, 200, 168
0.4840, 0.3322, -0.5091, 0.1089, -0.0794, -0.0157, 0.9242, 74043, 0.0443, -0.3128, -0.1036, -0.0338, -0.0980, 0.1108, 0.0471, 200, 159
