time (s), accel_x (m/s^2), accel_y (m/s^2), accel_z (m/s^2), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), mocap_counter, counter, desired x, desired y, desired z, desired yaw
0.0000, -0.1275, -0.0490, -9.6007, -0.0086, 0.0099, 0.0062, -0.0332, 0.0069, -0.0952, 0.2429, -0.0076, -0.1054, 126, 114292, 0.0000, 0.0000, 0.0000, 0.0000
0.0200, -0.1275, -0.0490, -9.6007, -0.0086, 0.0099, 0.0062, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1056, 127, 114292, 0.0000, 0.0000, 0.0000, 0.0000
0.0400, -0.1275, -0.0490, -9.6007, -0.0086, 0.0099, 0.0062, -0.0332, 0.0069, -0.0951, 0.2429, -0.0077, -0.1056, 128, 114292, 0.0000, 0.0000, 0.0000, 0.0000
0.0600, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2429, -0.0076, -0.1056, 129, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.0800, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0070, -0.0951, 0.2429, -0.0076, -0.1056, 130, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.1000, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2429, -0.0077, -0.1054, 131, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.1200, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2430, -0.0075, -0.1057, 132, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.1400, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0952, 0.2429, -0.0077, -0.1056, 133, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.1600, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1056, 134, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.1800, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1056, 135, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.2000, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0952, 0.2429, -0.0077, -0.1054, 136, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.2200, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1058, 137, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.2420, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0952, 0.2429, -0.0077, -0.1055, 138, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.2620, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0077, -0.1058, 139, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.2820, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0077, -0.1057, 140, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.3020, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0077, -0.1057, 141, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.3220, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0077, -0.1056, 142, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.3420, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2429, -0.0077, -0.1055, 143, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.3620, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0077, -0.1055, 144, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.3820, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2428, -0.0077, -0.1055, 145, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.4020, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0078, -0.1055, 146, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.4220, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0077, -0.1056, 147, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.4420, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2428, -0.0077, -0.1056, 148, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.4620, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0077, -0.1056, 149, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.4820, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2428, -0.0077, -0.1055, 150, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.5020, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0077, -0.1057, 151, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.5220, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0951, 0.2428, -0.0076, -0.1057, 152, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.5420, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2429, -0.0076, -0.1057, 153, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.5620, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0077, -0.1057, 154, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.5820, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0952, 0.2429, -0.0077, -0.1056, 155, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.6020, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0076, -0.1058, 156, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.6220, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0952, 0.2428, -0.0077, -0.1056, 157, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.6420, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1057, 158, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.6620, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0951, 0.2428, -0.0077, -0.1057, 159, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.6820, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0952, 0.2428, -0.0077, -0.1058, 160, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.7020, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1056, 161, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.7220, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0952, 0.2429, -0.0077, -0.1055, 162, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.7420, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0076, -0.1057, 163, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.7620, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2428, -0.0078, -0.1057, 164, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.7820, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0077, -0.1056, 165, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.8020, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0951, 0.2429, -0.0076, -0.1057, 166, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.8220, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2428, -0.0077, -0.1053, 167, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.8420, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0076, -0.1058, 168, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.8620, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2429, -0.0078, -0.1056, 169, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.8820, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0077, -0.1057, 170, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.9020, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0952, 0.2428, -0.0076, -0.1056, 171, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.9220, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0951, 0.2428, -0.0078, -0.1057, 172, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.9420, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1057, 173, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.9620, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2429, -0.0077, -0.1057, 174, 115292, 0.0000, 0.0000, 0.0000, 0.0000
0.9820, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0076, -0.1057, 175, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.0020, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2428, -0.0077, -0.1057, 176, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.0220, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0951, 0.2429, -0.0077, -0.1057, 177, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.0420, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0951, 0.2428, -0.0076, -0.1057, 178, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.0620, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0952, 0.2428, -0.0077, -0.1055, 179, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.0820, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1057, 180, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.1020, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0952, 0.2428, -0.0076, -0.1056, 181, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.1220, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0076, -0.1057, 182, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.1420, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0951, 0.2428, -0.0078, -0.1057, 183, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.1620, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0952, 0.2429, -0.0077, -0.1056, 184, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.1840, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0076, -0.1056, 185, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.2040, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2428, -0.0078, -0.1055, 186, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.2240, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1059, 187, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.2440, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0951, 0.2428, -0.0078, -0.1056, 188, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.2630, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0952, 0.2429, -0.0075, -0.1057, 189, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.2840, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0077, -0.1058, 190, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.3040, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0952, 0.2428, -0.0077, -0.1058, 191, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.3240, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1057, 192, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.3440, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2428, -0.0078, -0.1054, 193, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.3640, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0070, -0.0951, 0.2428, -0.0075, -0.1058, 194, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.3840, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0952, 0.2428, -0.0077, -0.1056, 195, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.4040, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0077, -0.1058, 196, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.4240, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2428, -0.0075, -0.1056, 197, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.4440, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0070, -0.0952, 0.2429, -0.0077, -0.1055, 198, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.4630, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0069, -0.0951, 0.2429, -0.0076, -0.1058, 199, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.4840, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0332, 0.0069, -0.0952, 0.2428, -0.0077, -0.1058, 200, 115292, 0.0000, 0.0000, 0.0000, 0.0000
1.5040, -0.1177, -0.0785, -9.6105, -0.0051, 0.0083, -0.0032, -0.0333, 0.0070, -0.0951, 0.2429, -0.0077, -0.1057, 201, 115292, 0.0000, 0.0000, 0.0000, 0.0000
