time (s), accel_x (m/s^2), accel_y (m/s^2), accel_z (m/s^2), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), mocap_counter, counter, desired x, desired y, desired z, desired yaw
0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0045, -0.0857, -0.1798, 0.0192, 0.0019, 338, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0200, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0043, -0.0856, -0.1800, 0.0183, 0.0023, 339, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0390, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0569, -0.0044, -0.0855, -0.1798, 0.0178, 0.0020, 340, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0600, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0045, -0.0857, -0.1800, 0.0191, 0.0016, 341, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.0800, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0568, -0.0044, -0.0852, -0.1803, 0.0165, 0.0012, 342, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0569, -0.0044, -0.0856, -0.1800, 0.0183, 0.0019, 343, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1200, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0569, -0.0044, -0.0854, -0.1800, 0.0169, 0.0025, 344, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1400, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0569, -0.0045, -0.0855, -0.1798, 0.0180, 0.0024, 345, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1600, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0044, -0.0856, -0.1800, 0.0190, 0.0017, 346, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.1800, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0044, -0.0855, -0.1800, 0.0182, 0.0017, 347, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0045, -0.0856, -0.1799, 0.0180, 0.0022, 348, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2200, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0568, -0.0044, -0.0855, -0.1800, 0.0168, 0.0025, 349, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2400, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0044, -0.0855, -0.1798, 0.0181, 0.0022, 350, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2600, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0571, -0.0044, -0.0856, -0.1798, 0.0190, 0.0016, 351, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.2800, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0568, -0.0045, -0.0854, -0.1800, 0.0168, 0.0024, 352, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0044, -0.0856, -0.1799, 0.0182, 0.0020, 353, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3200, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0043, -0.0856, -0.1801, 0.0191, 0.0017, 354, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3400, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0569, -0.0044, -0.0856, -0.1799, 0.0180, 0.0020, 355, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3600, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0045, -0.0857, -0.1800, 0.0191, 0.0018, 356, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.3800, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0569, -0.0044, -0.0856, -0.1801, 0.0184, 0.0019, 357, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0569, -0.0044, -0.0855, -0.1799, 0.0181, 0.0021, 358, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4200, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0044, -0.0857, -0.1801, 0.0192, 0.0019, 359, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4400, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0045, -0.0855, -0.1797, 0.0179, 0.0020, 360, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4600, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0570, -0.0044, -0.0856, -0.1800, 0.0184, 0.0020, 361, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4800, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0569, -0.0044, -0.0856, -0.1800, 0.0184, 0.0020, 362, 0, 0.0000, 0.0000, 0.0000, 0.0000
0.4990, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0568, -0.0045, -0.0855, -0.1800, 0.0166, 0.0028, 363, 0, 0.0000, 0.0000, 0.0000, 0.0000
