time (s), accel_x (m/s^2), accel_y (m/s^2), accel_z (m/s^2), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), mocap_counter, counter, desired x, desired y, desired z, desired yaw
0.0000, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0856, -0.0859, 0.0206, 0.0065, -0.0225, 1309, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.0200, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0061, -0.0854, -0.0861, 0.0204, 0.0058, -0.0213, 1310, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.0400, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0063, -0.0855, -0.0860, 0.0209, 0.0058, -0.0217, 1311, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.0610, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0061, -0.0855, -0.0862, 0.0204, 0.0057, -0.0211, 1312, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.0810, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0061, -0.0855, -0.0860, 0.0206, 0.0061, -0.0209, 1313, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.1000, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0854, -0.0860, 0.0206, 0.0062, -0.0220, 1314, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.1200, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0855, -0.0860, 0.0207, 0.0062, -0.0215, 1315, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.1410, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0061, -0.0855, -0.0861, 0.0205, 0.0055, -0.0220, 1316, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.1600, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0855, -0.0859, 0.0204, 0.0060, -0.0220, 1317, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.1800, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0856, -0.0861, 0.0207, 0.0061, -0.0231, 1318, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.2000, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0857, -0.0859, 0.0206, 0.0063, -0.0237, 1319, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.2210, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0857, -0.0862, 0.0205, 0.0055, -0.0237, 1320, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.2410, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0857, -0.0858, 0.0206, 0.0054, -0.0252, 1321, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.2610, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0063, -0.0858, -0.0860, 0.0204, 0.0057, -0.0260, 1322, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.2810, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0859, -0.0859, 0.0206, 0.0058, -0.0260, 1323, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.3000, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0063, -0.0857, -0.0859, 0.0205, 0.0055, -0.0253, 1324, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.3210, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0857, -0.0858, 0.0204, 0.0056, -0.0244, 1325, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.3410, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0857, -0.0860, 0.0208, 0.0062, -0.0239, 1326, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.3610, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0857, -0.0859, 0.0206, 0.0059, -0.0232, 1327, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.3810, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0855, -0.0860, 0.0209, 0.0058, -0.0227, 1328, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.4000, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0062, -0.0855, -0.0860, 0.0208, 0.0056, -0.0225, 1329, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.4210, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0063, -0.0857, -0.0861, 0.0208, 0.0060, -0.0228, 1330, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.4410, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0061, -0.0855, -0.0860, 0.0206, 0.0055, -0.0221, 1331, 101040, 0.5000, 0.5000, -0.5000, 0.0000
0.4610, -0.3825, -0.5001, -9.6792, 0.0019, -0.0067, -0.0113, 0.0063, -0.0856, -0.0860, 0.0208, 0.0061, -0.0227, 1332, 101040, 0.5000, 0.5000, -0.5000, 0.0000
