time (s), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), imu_pitch (rad), imu_roll (rad), imu_yaw (rad), counter, x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), angle_pitch_desired (rad), mu1, mu2
0.0000, -0.1669, -2.7523, -0.3301, 0.6554, -0.0127, 0.9081, 831360, 0.0443, -0.3128, -0.1035, -0.0339, -0.0981, 0.1108, 0.3026, 139, 200
0.0320, 0.2459, -7.1009, 0.0820, 0.4253, -0.0126, 0.9072, 831400, 0.0443, -0.3127, -0.1034, -0.0338, -0.0980, 0.1108, 0.2308, 200, 61
0.0470, 0.2459, -7.1009, 0.0820, 0.4253, -0.0126, 0.9072, 831400, 0.0443, -0.3127, -0.1035, -0.0339, -0.0980, 0.1108, 0.2308, 200, 61
0.0630, -1.2361, -6.4599, 0.0435, 0.2930, -0.0122, 0.9069, 831420, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1107, 0.1892, 200, 1
0.0940, 0.0578, -6.2782, -0.1242, 0.1553, -0.0108, 0.9074, 831440, 0.0444, -0.3127, -0.1035, -0.0338, -0.0980, 0.1108, 0.1446, 200, 1
0.1100, 0.0578, -6.2782, -0.1242, 0.1553, -0.0108, 0.9074, 831440, 0.0443, -0.3127, -0.1035, -0.0338, -0.0981, 0.1108, 0.1446, 200, 1
0.1250, 0.5916, -1.4638, 0.0645, 0.0061, -0.0079, 0.9083, 831480, 0.0444, -0.3127, -0.1035, -0.0338, -0.0980, 0.1108, 0.0493, 198, 114
0.1410, 0.5916, -1.4638, 0.0645, 0.0061, -0.0079, 0.9083, 831480, 0.0444, -0.3127, -0.1035, -0.0338, -0.0979, 0.1109, 0.0493, 198, 114
0.1720, 0.6185, 3.0738, -0.0191, 0.0848, -0.0096, 0.9095, 831520, 0.0443, -0.3127, -0.1034, -0.0339, -0.0982, 0.1107, -0.0493, 1, 200
0.1880, 0.3373, 2.4903, 0.0137, 0.1477, -0.0096, 0.9100, 831540, 0.0444, -0.3127, -0.1035, -0.0338, -0.0980, 0.1109, -0.0976, 1, 200
0.2030, 0.3373, 2.4903, 0.0137, 0.1477, -0.0096, 0.9100, 831540, 0.0443, -0.3127, -0.1035, -0.0338, -0.0981, 0.1107, -0.0976, 1, 200
