"Time for force,s"," Force, N",Counter,"Time for revolutions, s", Counter 2,"Spin rate, revolutions/second",,,,,,,
0,-0.449994,0,0.29,0,23.524845,,,,,,,
0.001,-0.453262,1,0.846,1,23.5083,,,,,,,
0.002,-0.453262,2,0.931,2,23.513759,,,,,,kF = ,-4.04E-06
0.003,-0.443459,3,1.009,3,23.527059,,,,,,,
0.004,-0.440191,4,1.09,4,23.549036,,,,,,,
0.005,-0.459798,5,1.175,5,23.561844,,,,,,,
0.006,-0.436923,6,1.257,6,24.082217,,,,,,,
0.007,-0.446727,7,1.338,7,27.994247,,,,,,,
0.008,-0.459798,8,1.408,8,29.533482,,,,,,,
0.009,-0.453262,9,1.47,9,30.172891,,,,,,,
0.01,-0.440191,10,1.536,10,30.460873,,,,,,,
0.011,-0.459798,11,1.6,11,30.620994,,,,,,,
0.012,-0.443459,12,1.661,12,30.735264,,,,,,,
0.013,-0.440191,13,1.723,13,30.815058,,,,,,,
0.014,-0.449994,14,1.784,14,30.861935,,,,,,,
0.015,-0.453262,15,1.848,15,30.894552,,,,,,,
0.016,-0.440191,16,1.91,16,30.926759,,,,,,,
0.017,-0.440191,17,1.968,17,30.948694,,,,,,,
0.018,-0.443459,18,2.029,18,30.959353,,,,,,,
0.019,-0.449994,19,2.093,19,30.963147,,,,,,,
0.02,-0.440191,20,2.155,20,30.957915,,,,,,,
0.021,-0.440191,21,2.216,21,30.951248,,,,,,,
0.022,-0.443459,22,2.278,22,30.958434,,,,,,,
0.023,-0.436923,23,2.338,23,30.960032,,,,,,,
0.024,-0.42712,24,2.402,24,30.956318,,,,,,,
0.025,-0.440191,25,2.463,25,30.956757,,,,,,,
0.026,-0.459798,26,2.526,26,30.956877,,,,,,,
0.027,-0.430387,27,2.59,27,30.965065,,,,,,,
0.028,-0.433655,28,2.649,28,30.971738,,,,,,,
0.029,-0.453262,29,2.713,29,30.975976,,,,,,,
0.03,-0.443459,30,2.772,30,30.978534,,,,,,,
0.031,-0.440191,31,2.835,31,30.987094,,,,,,,
0.032,-0.453262,32,2.896,32,30.991055,,,,,,,
0.033,-0.420584,33,2.959,33,31.003426,,,,,,,
0.034,-0.453262,34,3.022,34,31.00651,,,,,,,
0.035,-0.453262,35,3.084,35,31.013802,,,,,,,
0.036,-0.446727,36,3.145,36,31.020336,,,,,,,
0.037,-0.440191,37,3.207,37,33.501212,,,,,,,
0.038,-0.459798,38,3.266,38,37.166546,,,,,,,
0.039,-0.420584,39,3.316,39,37.314999,,,,,,,
0.04,-0.436923,40,3.368,40,37.418206,,,,,,,
0.041,-0.436923,41,3.417,41,37.443776,,,,,,,
0.042,-0.440191,42,3.469,42,37.450787,,,,,,,
0.043,-0.440191,43,3.521,43,37.433088,,,,,,,
0.044,-0.469601,44,3.57,44,37.499883,,,,,,,
0.045,-0.436923,45,3.621,45,37.527618,,,,,,,
0.046,-0.436923,46,3.673,46,37.513775,,,,,,,
0.047,-0.453262,47,3.725,47,37.427076,,,,,,,
0.048,-0.440191,48,3.778,48,37.559214,,,,,,,
0.049,-0.446727,49,3.828,49,37.507795,,,,,,,
0.05,-0.459798,50,3.879,50,37.615786,,,,,,,
0.051,-0.440191,51,3.932,51,37.414881,,,,,,,
0.052,-0.436923,52,3.982,52,37.671582,,,,,,,
0.053,-0.443459,53,4.034,53,37.405493,,,,,,,
0.054,-0.443459,54,4.086,54,37.417156,,,,,,,
0.055,-0.436923,55,4.137,55,37.564623,,,,,,,
0.056,-0.440191,56,4.188,56,37.546875,,,,,,,
0.057,-0.440191,57,4.241,57,37.528263,,,,,,,
0.058,-0.446727,58,4.293,58,37.508557,,,,,,,
0.059,-0.449994,59,4.345,59,37.337233,,,,,,,
0.06,-0.453262,60,4.391,60,37.55369,,,,,,,
0.061,-0.443459,61,4.436,61,37.28248,,,,,,,
