"Time for force,s"	" Force, N"	Counter	"Time for revolutions, s"	 Counter 2	"Spin rate, revolutions/second"			Torque				
0	-0.440191	0	0.286	0	23.669456			-0.005722483				
0.001	-0.453262	1	0.836	1	23.890914			-0.005892406				
0.002	-0.443459	2	0.907	2	28.176852			-0.005764967				
0.003	-0.443459	3	0.975	3	29.755374			-0.005764967			kM = 	-9.59E-08
0.004	-0.459798	4	1.039	4	30.27841			-0.005977374				
0.005	-0.440191	5	1.104	5	30.497064			-0.005722483				
0.006	-0.423852	6	1.168	6	30.615642			-0.005510076		T = 	-2.12E-03	
0.007	-0.443459	7	1.23	7	30.688379			-0.005764967				
0.008	-0.446727	8	1.293	8	30.745502			-0.005807451				
0.009	-0.440191	9	1.354	9	30.783478			-0.005722483				
0.01	-0.440191	10	1.415	10	30.795249			-0.005722483				
0.011	-0.453262	11	1.477	11	30.789362			-0.005892406				
0.012	-0.446727	12	1.538	12	30.779688			-0.005807451				
0.013	-0.436923	13	1.603	13	30.781859			-0.005679999				
0.014	-0.440191	14	1.666	14	30.770335			-0.005722483				
0.015	-0.449994	15	1.727	15	30.77578			-0.005849922				
0.016	-0.440191	16	1.788	16	30.760436			-0.005722483				
0.017	-0.433655	17	1.849	17	30.752159			-0.005637515				
0.018	-0.440191	18	1.914	18	30.748574			-0.005722483				
0.019	-0.449994	19	1.977	19	30.746014			-0.005849922				
0.02	-0.446727	20	2.04	20	30.755233			-0.005807451				
0.021	-0.433655	21	2.102	21	30.796909			-0.005637515				
0.022	-0.430387	22	2.164	22	30.823092			-0.005595031				
0.023	-0.449994	23	2.226	23	30.842105			-0.005849922				
0.024	-0.443459	24	2.289	24	30.871264			-0.005764967				
0.025	-0.433655	25	2.351	25	30.902985			-0.005637515				
0.026	-0.449994	26	2.414	26	30.919786			-0.005849922				
0.027	-0.449994	27	2.476	27	30.9384			-0.005849922				
0.028	-0.436923	28	2.538	28	30.949611			-0.005679999				
0.029	-0.440191	29	2.598	29	30.958434			-0.005722483				
0.03	-0.453262	30	2.659	30	30.943227			-0.005892406				
