time (s), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), imu_pitch (rad), imu_roll (rad), imu_yaw (rad), counter, x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), angle_pitch_desired (rad), mu1, mu2
0.0000, -0.4182, -0.0446, 0.0271, 0.3487, -0.0178, 0.9004, 270966, 0.0443, -0.3127, -0.1034, -0.0339, -0.0980, 0.1108, 0.3680, 178, 154
0.0160, -0.4182, -0.0446, 0.0271, 0.3487, -0.0178, 0.9004, 270966, 0.0443, -0.3127, -0.1034, -0.0339, -0.0979, 0.1108, 0.3680, 178, 154
0.0320, 0.0067, 0.4333, -0.1121, 0.3515, -0.0180, 0.9004, 270986, 0.0443, -0.3127, -0.1034, -0.0338, -0.0980, 0.1108, 0.3713, 164, 169
0.0630, -0.1441, 0.1521, 0.1330, 0.3707, -0.0169, 0.9013, 271026, 0.0444, -0.3127, -0.1034, -0.0339, -0.0979, 0.1109, 0.3772, 166, 169
0.0780, -0.1441, 0.1521, 0.1330, 0.3707, -0.0169, 0.9013, 271026, 0.0443, -0.3127, -0.1034, -0.0339, -0.0980, 0.1110, 0.3772, 166, 169
0.0940, 0.3268, -0.4542, 0.0250, 0.3712, -0.0164, 0.9015, 271066, 0.0444, -0.3127, -0.1034, -0.0339, -0.0978, 0.1109, 0.3822, 179, 156
0.1100, 0.3268, -0.4542, 0.0250, 0.3712, -0.0164, 0.9015, 271066, 0.0444, -0.3127, -0.1034, -0.0339, -0.0980, 0.1108, 0.3822, 179, 156
0.1410, -0.1309, -0.1648, 0.0994, 0.3695, -0.0171, 0.9022, 271086, 0.0443, -0.3127, -0.1033, -0.0338, -0.0980, 0.1109, 0.3844, 174, 160
0.1570, -0.0882, 0.4257, -0.0938, 0.3793, -0.0176, 0.9022, 271126, 0.0443, -0.3127, -0.1034, -0.0339, -0.0979, 0.1109, 0.3879, 159, 176
0.1720, -0.0882, 0.4257, -0.0938, 0.3793, -0.0176, 0.9022, 271126, 0.0443, -0.3127, -0.1034, -0.0339, -0.0980, 0.1109, 0.3879, 159, 176
0.1880, -0.0882, 0.4257, -0.0938, 0.3793, -0.0176, 0.9022, 271126, 0.0443, -0.3127, -0.1033, -0.0339, -0.0979, 0.1109, 0.3879, 159, 176
0.2190, 0.2583, -0.0828, 0.1769, 0.3843, -0.0169, 0.9029, 271146, 0.0443, -0.3127, -0.1034, -0.0338, -0.0981, 0.1108, 0.3893, 172, 164
0.2350, -0.0812, -0.0793, 0.1570, 0.3829, -0.0175, 0.9032, 271186, 0.0443, -0.3127, -0.1033, -0.0339, -0.0980, 0.1109, 0.3914, 172, 164
0.2500, -0.0812, -0.0793, 0.1570, 0.3829, -0.0175, 0.9032, 271186, 0.0443, -0.3127, -0.1034, -0.0338, -0.0980, 0.1108, 0.3914, 172, 164
0.2820, -0.2174, 0.7289, -0.2669, 0.3873, -0.0162, 0.9041, 271226, 0.0443, -0.3127, -0.1033, -0.0338, -0.0982, 0.1107, 0.3925, 157, 178
0.2970, 0.3134, -0.2126, 0.2258, 0.3922, -0.0162, 0.9039, 271246, 0.0443, -0.3127, -0.1034, -0.0339, -0.0980, 0.1109, 0.3927, 168, 169
0.3130, 0.3134, -0.2126, 0.2258, 0.3922, -0.0162, 0.9039, 271246, 0.0443, -0.3127, -0.1034, -0.0339, -0.0981, 0.1108, 0.3927, 168, 169
0.3280, -0.3790, -0.0091, -0.2443, 0.3889, -0.0175, 0.9041, 271286, 0.0443, -0.3126, -0.1033, -0.0338, -0.0981, 0.1109, 0.3923, 168, 169
0.3600, 0.3879, -0.5416, 0.2965, 0.3836, -0.0166, 0.9046, 271306, 0.0443, -0.3127, -0.1034, -0.0339, -0.0980, 0.1108, 0.3917, 179, 156
0.3750, 0.3879, -0.5416, 0.2965, 0.3836, -0.0166, 0.9046, 271306, 0.0443, -0.3127, -0.1033, -0.0339, -0.0981, 0.1107, 0.3917, 179, 156
0.3910, 0.0908, 0.5230, -0.1328, 0.3896, -0.0154, 0.9048, 271346, 0.0443, -0.3127, -0.1034, -0.0338, -0.0980, 0.1109, 0.3898, 154, 181
0.4220, -0.7055, 0.4421, -0.1884, 0.3988, -0.0143, 0.9062, 271386, 0.0443, -0.3127, -0.1034, -0.0339, -0.0982, 0.1107, 0.3870, 165, 172
0.4380, -0.7055, 0.4421, -0.1884, 0.3988, -0.0143, 0.9062, 271386, 0.0443, -0.3126, -0.1033, -0.0338, -0.0981, 0.1109, 0.3870, 165, 172
0.4530, 0.1465, -0.3532, 0.0078, 0.3960, -0.0148, 0.9062, 271406, 0.0443, -0.3127, -0.1034, -0.0339, -0.0979, 0.1109, 0.3852, 166, 171
0.4690, 0.1465, -0.3532, 0.0078, 0.3960, -0.0148, 0.9062, 271406, 0.0443, -0.3127, -0.1034, -0.0340, -0.0981, 0.1108, 0.3852, 166, 171
0.5000, -0.4784, 0.1390, -0.2647, 0.3808, -0.0141, 0.9069, 271446, 0.0443, -0.3126, -0.1034, -0.0338, -0.0979, 0.1110, 0.3808, 169, 167
0.5160, 0.2871, 0.1188, 0.0702, 0.3796, -0.0134, 0.9072, 271466, 0.0442, -0.3127, -0.1034, -0.0338, -0.0981, 0.1108, 0.3783, 161, 174
0.5320, 0.2871, 0.1188, 0.0702, 0.3796, -0.0134, 0.9072, 271466, 0.0443, -0.3126, -0.1034, -0.0339, -0.0980, 0.1109, 0.3783, 161, 174
0.5630, -0.1322, 0.2215, -0.1051, 0.3850, -0.0136, 0.9083, 271506, 0.0443, -0.3127, -0.1033, -0.0338, -0.0980, 0.1108, 0.3726, 160, 175
0.5780, -0.2889, -0.4884, 0.0624, 0.3772, -0.0133, 0.9088, 271546, 0.0443, -0.3127, -0.1034, -0.0339, -0.0980, 0.1109, 0.3658, 173, 162
0.5940, -0.2889, -0.4884, 0.0624, 0.3772, -0.0133, 0.9088, 271546, 0.0443, -0.3127, -0.1034, -0.0339, -0.0980, 0.1110, 0.3658, 173, 162
0.6100, 0.1683, 0.0917, -0.1172, 0.3721, -0.0138, 0.9090, 271566, 0.0443, -0.3127, -0.1033, -0.0339, -0.0981, 0.1108, 0.3621, 164, 171
0.6410, -0.0339, -0.1320, -0.0108, 0.3651, -0.0129, 0.9097, 271606, 0.0443, -0.3127, -0.1034, -0.0339, -0.0980, 0.1109, 0.3541, 169, 165
0.6560, -0.0339, -0.1320, -0.0108, 0.3651, -0.0129, 0.9097, 271606, 0.0443, -0.3126, -0.1033, -0.0339, -0.0981, 0.1108, 0.3541, 169, 165
0.6720, 0.0538, -0.0255, -0.1666, 0.3637, -0.0140, 0.9098, 271626, 0.0443, -0.3127, -0.1034, -0.0339, -0.0982, 0.1108, 0.3497, 158, 176
